sku,description,principal,product_group,storage_condition,lines,units,sales_value_nzd,abc_velocity,abc_value,lines_per_day,pallets_per_week,pick_location,ground_faces,pick_bins,months_cover,counts_per_year
PH10035,Metoprolol 50mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,466.0,57516.0,1321717.68,A,A,5.482352941176471,3.524264705882353,Ground pick face,1,0,3.6203491202448013,12
PH10036,Bisoprolol 2.5mg Tablets 2x14,Venrick Laboratories,Tablets,Below 25C,40.0,2950.0,69384.0,B,B,0.47058823529411764,0.14460784313725492,Shelving pick bin,0,1,5.543050847457627,4
PH10037,Montelukast 10mg Tablets 100s,Dunmore Therapeutics,Tablets,Below 25C,18.0,1590.0,22927.8,C,C,0.21176470588235294,0.024356617647058824,Direct from reserve,0,0,7.313207547169811,2
PH10038,Pantoprazole 20mg Tablets 10x10,Marwick Pharmaceuticals,Tablets,Below 25C,56.0,3303.0,64507.590000000004,B,B,0.6588235294117647,0.07196078431372548,Shelving pick bin,0,1,5.471389645776567,4
PH10039,Atorvastatin 40mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,1.0,17.0,73.94999999999999,C,C,0.011764705882352941,0.0002314814814814815,Direct from reserve,0,0,12.470588235294118,2
PH10040,Warfarin 5mg Tablets 30s,Arcadine Pharma,Tablets,Below 25C,8.0,664.0,9196.4,C,C,0.09411764705882353,0.032549019607843135,Direct from reserve,0,0,19.06024096385542,2
PH10041,Amlodipine 5mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,46.0,2615.0,63962.9,B,B,0.5411764705882353,0.042728758169934634,Shelving pick bin,0,1,4.674569789674952,4
PH10042,Glimepiride 4mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,1.0,178.0,1520.12,C,C,0.011764705882352941,0.00727124183006536,Direct from reserve,0,0,4.674157303370786,2
PH10043,Atorvastatin 10mg Tablets 100s,Corvane Pharma,Tablets,Below 25C,242.0,24592.0,65168.799999999996,A,B,2.847058823529412,0.17859114015976765,Ground pick face,1,0,4.573194534808068,4
PH10045,Atorvastatin 40mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,222.0,25468.0,504775.76,A,A,2.611764705882353,0.34678649237472764,Ground pick face,1,0,3.926653054813884,12
PH10046,Warfarin 1mg Tablets 3x10,Marwick Pharmaceuticals,Tablets,Below 25C,16.0,438.0,9049.08,C,C,0.18823529411764706,0.015336134453781512,Direct from reserve,0,0,7.424657534246576,2
PH10047,Metformin 850mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,25.0,746.0,3088.4399999999996,C,C,0.29411764705882354,0.013060224089635853,Direct from reserve,0,0,4.305630026809651,2
PH10048,Simvastatin 40mg Tablets 3x10,Marwick Pharmaceuticals,Tablets,Below 25C,140.0,13323.0,43566.21,A,B,1.6470588235294117,0.27212009803921566,Ground pick face,1,0,4.388200855663139,4
PH10049,Amlodipine 5mg Tablets 2x14,Halvora Healthcare,Tablets,Below 25C,537.0,44223.0,382086.72000000003,A,A,6.317647058823529,1.8064950980392158,Ground pick face,1,0,6.6965153879203125,12
PH10050,Escitalopram 10mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,135.0,18847.0,458170.56999999995,A,A,1.588235294117647,0.230968137254902,Ground pick face,1,0,5.006207884543959,12
PH10051,Escitalopram 10mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,78.0,7034.0,78851.14,A,B,0.9176470588235294,0.10775122549019607,Ground pick face,1,0,4.47483650838783,4
PH10053,Simvastatin 40mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,123.0,9334.0,216268.78000000003,A,A,1.4470588235294117,0.45754901960784317,Ground pick face,1,0,1.4351832011999144,12
PH10054,Esomeprazole 40mg Tablets 30s,Marwick Pharmaceuticals,Tablets,Below 25C,0.0,0.0,0.0,D,D,0.0,0.0,No pick face,0,0,inf,1
PH10055,Ibuprofen 200mg Tablets 100s,Dunmore Therapeutics,Tablets,Below 25C,54.0,3345.0,69208.05,B,B,0.6352941176470588,0.03726604278074866,Shelving pick bin,0,1,3.353064275037369,4
PH10056,Allopurinol 100mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,29.0,3053.0,12028.82,B,C,0.3411764705882353,0.1108569353667393,Shelving pick bin,0,1,2.575827055355388,2
PH10057,Glimepiride 2mg Tablets 30s,Marwick Pharmaceuticals,Tablets,Below 25C,92.0,7051.0,151596.5,A,A,1.0823529411764705,0.34563725490196084,Ground pick face,1,0,6.378102396823146,12
PH10058,Pantoprazole 40mg Tablets 100s,Corvane Pharma,Tablets,Below 25C,95.0,6495.0,125028.75,A,A,1.1176470588235294,0.17687908496732024,Ground pick face,1,0,4.044341801385682,12
PH10059,Telmisartan 80mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,17.0,649.0,1616.0100000000002,C,C,0.2,0.010604575163398694,Direct from reserve,0,0,9.577812018489984,2
PH10060,Paracetamol 500mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,47.0,2169.0,23403.51,B,C,0.5529411764705883,0.050630252100840344,Shelving pick bin,0,1,6.935915168280314,2
PH10061,Simvastatin 40mg Tablets 30s,Arcadine Pharma,Tablets,Below 25C,8.0,202.0,4054.14,C,C,0.09411764705882353,0.0023576097105508873,Direct from reserve,0,0,14.732673267326733,2
PH10062,Amlodipine 5mg Tablets 100s,Arcadine Pharma,Tablets,Below 25C,86.0,4929.0,95425.44,A,B,1.011764705882353,0.10067401960784315,Ground pick face,1,0,4.8715763846622036,4
PH10063,Simvastatin 40mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,33.0,5630.0,94133.59999999999,B,B,0.38823529411764707,0.06899509803921568,Shelving pick bin,0,1,4.228774422735347,4
PH10064,Telmisartan 80mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,29.0,6013.0,48765.42999999999,B,B,0.3411764705882353,0.03684436274509804,Shelving pick bin,0,1,3.8104107766505906,4
PH10065,Rosuvastatin 20mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,247.0,22966.0,483893.62,A,A,2.9058823529411764,0.37526143790849675,Ground pick face,1,0,3.1773926674214055,12
PH10066,Atorvastatin 10mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,98.0,11955.0,44233.5,A,B,1.1529411764705881,0.3255718954248366,Ground pick face,1,0,3.063822668339607,4
PH10067,Montelukast 10mg Tablets 3x10,Arcadine Pharma,Tablets,Below 25C,95.0,11366.0,265168.77999999997,A,A,1.1176470588235294,0.2321486928104575,Ground pick face,1,0,7.864508182298082,12
PH10068,Ciprofloxacin 250mg Tablets 10x10,Marwick Pharmaceuticals,Tablets,Below 25C,34.0,2323.0,35820.659999999996,B,B,0.4,0.07591503267973856,Shelving pick bin,0,1,6.448557899268188,4
PH10069,Amlodipine 10mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,21.0,1972.0,37448.28,C,B,0.24705882352941178,0.06041666666666667,Direct from reserve,0,0,1.2373225152129816,4
PH10070,Sertraline 50mg Tablets 30s,Marwick Pharmaceuticals,Tablets,Below 25C,40.0,1928.0,16638.640000000003,B,C,0.47058823529411764,0.09450980392156864,Shelving pick bin,0,1,4.278008298755187,2
PH10071,Metformin 850mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,48.0,2870.0,38486.7,B,B,0.5647058823529412,0.07815904139433551,Shelving pick bin,0,1,1.9094076655052266,4
PH10072,Azithromycin 250mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,46.0,3214.0,27447.559999999998,B,C,0.5411764705882353,0.11253501400560226,Shelving pick bin,0,1,1.7336652146857499,2
PH10073,Esomeprazole 40mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,44.0,5387.0,102568.48,B,A,0.5176470588235295,0.11002859477124183,Shelving pick bin,0,1,6.900315574531279,12
PH10074,Paracetamol 500mg Tablets 2x14,Halvora Healthcare,Tablets,Below 25C,68.0,5693.0,12069.16,B,C,0.8,0.3488357843137255,Shelving pick bin,0,1,10.314421219040927,2
PH10075,Escitalopram 20mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,182.0,22487.0,421856.12000000005,A,A,2.1411764705882352,0.2296466503267974,Ground pick face,1,0,7.275314626228488,12
PH10076,Metformin 500mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,5.0,928.0,8732.48,C,C,0.058823529411764705,0.009477124183006537,Direct from reserve,0,0,6.870689655172414,2
PH10077,Prednisolone 5mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,12.0,484.0,10430.2,C,C,0.1411764705882353,0.007908496732026144,Direct from reserve,0,0,10.15702479338843,2
PH10078,Furosemide 40mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,1.0,17.0,305.66,C,C,0.011764705882352941,0.000462962962962963,Direct from reserve,0,0,9.411764705882353,2
PH10079,Allopurinol 100mg Tablets 3x10,Arcadine Pharma,Tablets,Below 25C,42.0,2826.0,68784.84,B,B,0.49411764705882355,0.23088235294117646,Shelving pick bin,0,1,8.284501061571126,4
PH10080,Loratadine 10mg Tablets 30s,Marwick Pharmaceuticals,Tablets,Below 25C,10.0,638.0,6890.400000000001,C,C,0.11764705882352941,0.026062091503267975,Direct from reserve,0,0,17.0846394984326,2
PH10081,Metformin 500mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,1.0,80.0,1588.0,C,C,0.011764705882352941,0.0008169934640522875,Direct from reserve,0,0,6.6,2
PH10082,Ciprofloxacin 250mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,34.0,1935.0,29644.2,B,B,0.4,0.021078431372549018,Shelving pick bin,0,1,3.4708010335917314,4
PH10083,Clopidogrel 75mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,6.0,2307.0,40718.549999999996,C,B,0.07058823529411765,0.03141339869281046,Direct from reserve,0,0,6.94234937147811,4
PH10084,Diclofenac 50mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,129.0,17069.0,249207.4,A,A,1.5176470588235293,0.1743157679738562,Ground pick face,1,0,10.634717909660788,12
PH10085,Allopurinol 300mg Tablets 30s,Arcadine Pharma,Tablets,Below 25C,210.0,12755.0,316324.0,A,A,2.4705882352941178,0.3126225490196078,Ground pick face,1,0,3.792708741669933,12
PH10086,Losartan 100mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,99.0,11862.0,47092.14,A,B,1.1647058823529413,0.24227941176470588,Ground pick face,1,0,3.280053953802057,4
PH10087,Bisoprolol 5mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,16.0,2340.0,17690.399999999998,C,C,0.18823529411764706,0.09558823529411764,Direct from reserve,0,0,4.105982905982906,2
PH10088,Glimepiride 2mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,6.0,751.0,15080.079999999998,C,C,0.07058823529411765,0.024542483660130718,Direct from reserve,0,0,4.1118508655126496,2
PH10089,Metoprolol 50mg Tablets 3x10,Arcadine Pharma,Tablets,Below 25C,6.0,175.0,651.0,C,C,0.07058823529411765,0.0023828976034858383,Direct from reserve,0,0,20.502857142857142,2
PH10090,Levothyroxine 50mcg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,4.0,125.0,845.0,C,C,0.047058823529411764,0.004084967320261438,Direct from reserve,0,0,3.552,2
PH10091,Atorvastatin 10mg Tablets 30s,Halvora Healthcare,Tablets,Below 25C,19.0,1501.0,36249.15,C,B,0.2235294117647059,0.07357843137254903,Direct from reserve,0,0,4.290473017988008,4
PH10092,Bisoprolol 5mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,23.0,1875.0,15206.249999999998,C,C,0.27058823529411763,0.025531045751633983,Direct from reserve,0,0,4.597333333333333,2
PH10093,Pantoprazole 20mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,487.0,23574.0,452620.8,A,A,5.729411764705882,0.48149509803921564,Ground pick face,1,0,5.12785271909731,12
PH10094,Loratadine 10mg Tablets 3x10,Venrick Laboratories,Tablets,Below 25C,134.0,13985.0,343611.45,A,A,1.576470588235294,0.11425653594771241,Ground pick face,1,0,4.055488022881659,12
PH10095,Amlodipine 10mg Tablets 100s,Arcadine Pharma,Tablets,Below 25C,613.0,29372.0,592433.2400000001,A,A,7.211764705882353,1.1998366013071895,Ground pick face,1,0,6.692904807299469,12
PH10096,Cetirizine 10mg Tablets 100s,Halvora Healthcare,Tablets,Below 25C,44.0,1952.0,33457.28,B,B,0.5176470588235295,0.053159041394335506,Shelving pick bin,0,1,3.3565573770491803,4
PH10097,Rosuvastatin 5mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,6.0,431.0,2211.0299999999997,C,C,0.07058823529411765,0.012676470588235293,Direct from reserve,0,0,18.43155452436195,2
PH10098,Warfarin 1mg Tablets 2x14,Halvora Healthcare,Tablets,Below 25C,17.0,2871.0,15101.46,C,C,0.2,0.04397977941176471,Direct from reserve,0,0,2.963427377220481,2
PH10099,Simvastatin 40mg Tablets 100s,Corvane Pharma,Tablets,Below 25C,34.0,2230.0,9410.599999999999,B,C,0.4,0.03036492374727669,Shelving pick bin,0,1,4.663677130044843,2
PH10100,Carvedilol 6.25mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,58.0,6793.0,15012.53,B,C,0.6823529411764706,0.1849945533769063,Shelving pick bin,0,1,4.9851317532754305,2
PH10101,Azithromycin 500mg Tablets 2x14,Arcadine Pharma,Tablets,Below 25C,216.0,11154.0,180360.18000000002,A,A,2.541176470588235,0.3645098039215686,Ground pick face,1,0,5.84113322574861,12
PH10102,Montelukast 10mg Tablets 2x14,Halvora Healthcare,Tablets,Below 25C,15.0,696.0,5317.44,C,C,0.17647058823529413,0.025272331154684097,Direct from reserve,0,0,2.954022988505747,2
PH10103,Gliclazide 80mg Tablets 2x14,Dunmore Therapeutics,Tablets,Below 25C,18.0,714.0,11352.6,C,C,0.21176470588235294,0.009999999999999998,Direct from reserve,0,0,4.9299719887955185,2
PH10104,Azithromycin 500mg Tablets 100s,Venrick Laboratories,Tablets,Below 25C,42.0,4866.0,41652.96,B,B,0.49411764705882355,0.044172113289760354,Shelving pick bin,0,1,4.248253185367859,4
PH10105,Carvedilol 6.25mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,264.0,13268.0,197958.56,A,A,3.1058823529411765,1.083986928104575,Ground pick face,1,0,7.233041905336147,12
PH10106,Bisoprolol 2.5mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,14.0,773.0,7227.549999999999,C,C,0.16470588235294117,0.025261437908496734,Direct from reserve,0,0,8.005174644243208,2
PH10107,Diclofenac 50mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,84.0,13047.0,276204.99000000005,A,A,0.9882352941176471,0.17765522875816994,Ground pick face,1,0,2.9849007434659307,12
PH10108,Esomeprazole 20mg Tablets 3x10,Arcadine Pharma,Tablets,Below 25C,9.0,504.0,7887.6,C,C,0.10588235294117647,0.041176470588235294,Direct from reserve,0,0,14.674603174603174,2
PH10109,Carvedilol 25mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,69.0,3589.0,37720.39,B,B,0.8117647058823529,0.1172875816993464,Shelving pick bin,0,1,2.5511284480356644,4
PH10110,Rosuvastatin 10mg Tablets 10x10,Dunmore Therapeutics,Tablets,Below 25C,72.0,5799.0,19484.64,B,C,0.8470588235294118,0.039481209150326796,Shelving pick bin,0,1,2.123124676668391,2
PH10111,Gliclazide 80mg Tablets 30s,Corvane Pharma,Tablets,Below 25C,69.0,3394.0,35569.12,B,B,0.8117647058823529,0.0693218954248366,Shelving pick bin,0,1,4.8697701826753095,4
PH10112,Bisoprolol 5mg Tablets 30s,Halvora Healthcare,Tablets,Below 25C,235.0,24284.0,79408.68000000001,A,B,2.764705882352941,0.2645315904139433,Ground pick face,1,0,2.837588535661341,4
PH10113,Rosuvastatin 5mg Tablets 30s,Arcadine Pharma,Tablets,Below 25C,35.0,1638.0,16822.26,B,C,0.4117647058823529,0.08029411764705882,Shelving pick bin,0,1,4.068376068376068,2
PH10114,Telmisartan 40mg Tablets 2x14,Arcadine Pharma,Tablets,Below 25C,86.0,10203.0,191000.15999999997,A,A,1.011764705882353,0.092619825708061,Ground pick face,1,0,1.9041458394589827,12
PH10115,Metoprolol 100mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,7.0,513.0,1677.51,C,C,0.08235294117647059,0.0062867647058823545,Direct from reserve,0,0,9.910331384015594,2
PH10116,Atorvastatin 10mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,4.0,148.0,1968.4,C,C,0.047058823529411764,0.0024183006535947716,Direct from reserve,0,0,8.432432432432432,2
PH10117,Sertraline 100mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,18.0,2129.0,32914.340000000004,C,B,0.21176470588235294,0.026090686274509806,Direct from reserve,0,0,4.193518083607327,4
PH10118,Amlodipine 5mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,23.0,1134.0,21682.08,C,C,0.27058823529411763,0.04169117647058823,Direct from reserve,0,0,2.578483245149912,2
PH10119,Ciprofloxacin 250mg Tablets 30s,Halvora Healthcare,Tablets,Below 25C,448.0,63749.0,1121344.91,A,A,5.270588235294118,0.7812377450980392,Ground pick face,1,0,3.389355127139249,12
PH10120,Cetirizine 10mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,95.0,10655.0,132441.65,A,A,1.1176470588235294,0.38689179375453886,Ground pick face,1,0,4.86569685593618,12
PH10121,Pantoprazole 40mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,248.0,18499.0,176295.47,A,A,2.9176470588235293,0.2518927015250545,Ground pick face,1,0,3.93751013568301,12
PH10122,Allopurinol 300mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,68.0,5181.0,89631.3,B,B,0.8,0.12698529411764706,Shelving pick bin,0,1,16.82146303802355,4
PH10123,Sertraline 50mg Tablets 10x10,Corvane Pharma,Tablets,Below 25C,92.0,14143.0,270697.02,A,A,1.0823529411764705,0.11554738562091503,Ground pick face,1,0,7.383157745881355,12
PH10124,Prednisolone 25mg Tablets 2x14,Halvora Healthcare,Tablets,Below 25C,24.0,2409.0,13249.5,C,C,0.2823529411764706,0.03936274509803921,Direct from reserve,0,0,7.913657119136571,2
PH10125,Carvedilol 25mg Tablets 2x14,Corvane Pharma,Tablets,Below 25C,90.0,4905.0,52924.95,A,B,1.0588235294117647,0.06411764705882353,Ground pick face,1,0,6.188786952089704,4
PH10126,Ibuprofen 200mg Tablets 2x14,Halvora Healthcare,Tablets,Below 25C,8.0,109.0,774.99,C,C,0.09411764705882353,0.0004947349310094408,Direct from reserve,0,0,5.651376146788991,2
PH10127,Sertraline 50mg Tablets 2x14,Halvora Healthcare,Tablets,Below 25C,16.0,2937.0,72690.75,C,B,0.18823529411764706,0.02399509803921569,Direct from reserve,0,0,3.3217568947906027,4
PH10128,Rosuvastatin 5mg Tablets 3x10,Corvane Pharma,Tablets,Below 25C,0.0,0.0,0.0,D,D,0.0,0.0,No pick face,0,0,inf,1
PH10129,Rosuvastatin 20mg Tablets 100s,Halvora Healthcare,Tablets,Below 25C,64.0,3811.0,70998.93,B,B,0.7529411764705882,0.18681372549019606,Shelving pick bin,0,1,2.048806087641039,4
PH10130,Atorvastatin 20mg Tablets 2x14,Marwick Pharmaceuticals,Tablets,Below 25C,136.0,9016.0,99176.0,A,A,1.6,0.1473202614379085,Ground pick face,1,0,6.158828748890861,12
PH10131,Diclofenac 50mg Tablets 3x10,Halvora Healthcare,Tablets,Below 25C,110.0,4606.0,95436.31999999999,A,B,1.2941176470588236,0.10751633986928104,Ground pick face,1,0,4.257924446374294,4
PH10132,Paracetamol 500mg Tablets 30s,Arcadine Pharma,Tablets,Below 25C,46.0,2827.0,54137.049999999996,B,B,0.5411764705882353,0.23096405228758168,Shelving pick bin,0,1,3.5146798726565263,4
PH10133,Telmisartan 80mg Tablets 100s,Marwick Pharmaceuticals,Tablets,Below 25C,22.0,1548.0,21424.32,C,C,0.25882352941176473,0.04742647058823529,Direct from reserve,0,0,2.8242894056847545,2
PH10134,Escitalopram 20mg Tablets 100s,Dunmore Therapeutics,Tablets,Below 25C,2.0,128.0,584.96,C,C,0.023529411764705882,0.00261437908496732,Direct from reserve,0,0,6.5625,2
PH10135,Rosuvastatin 20mg Tablets 30s,Venrick Laboratories,Tablets,Below 25C,13.0,484.0,1785.96,C,C,0.15294117647058825,0.02372549019607843,Direct from reserve,0,0,7.347107438016529,2
PH10136,Metoprolol 100mg Tablets 2x14,Venrick Laboratories,Tablets,Below 25C,22.0,1720.0,28810.0,C,B,0.25882352941176473,0.03747276688453159,Direct from reserve,0,0,4.583720930232558,4
PH10137,Ibuprofen 400mg Tablets 10x10,Halvora Healthcare,Tablets,Below 25C,87.0,7398.0,135679.32,A,A,1.0235294117647058,0.5439705882352942,Ground pick face,1,0,2.2508786158421197,12
