sku,description,principal,category,product_group,storage_condition,units_per_case,case_length_cm,case_width_cm,case_height_cm,case_cbm,case_weight_kg,unit_cost_nzd,ti,hi,cases_per_pallet,pallet_height_cm,pallet_weight_kg,pallet_cbm
PH10022,Escitalopram 20mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,46.9,26.6,26.4,0.03294,8.91,8.68,7,4,28,120.6,274.48,0.9223199999999999
PH10023,Gliclazide 80mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180,37.0,31.6,16.2,0.01894,4.55,3.72,9,8,72,144.6,352.59999999999997,1.36368
PH10024,Ciprofloxacin 500mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,60,32.5,43.6,17.5,0.0248,5.25,11.43,6,6,36,120.0,214.0,0.8927999999999999
PH10025,Diclofenac 50mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,51.0,34.4,31.2,0.05474,9.81,19.37,4,3,12,108.6,142.72,0.6568799999999999
PH10026,Cetirizine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240,36.6,37.2,27.0,0.03676,9.16,9.61,5,4,20,123.0,208.2,0.7352000000000001
PH10027,Simvastatin 20mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100,33.9,42.9,29.6,0.04305,11.9,15.11,6,3,18,103.80000000000001,239.20000000000002,0.7748999999999999
PH10028,Bisoprolol 5mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100,57.9,35.3,19.6,0.04006,6.03,11.09,4,4,16,93.4,121.48,0.64096
PH10029,Gliclazide 80mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180,42.1,38.4,18.9,0.03055,8.37,21.04,5,4,20,90.6,192.39999999999998,0.611
PH10030,Allopurinol 300mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,60,56.5,30.2,31.8,0.05426,12.08,3.73,6,2,12,78.6,169.96,0.65112
PH10032,Pantoprazole 40mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100,52.7,39.0,31.5,0.06474,10.75,5.77,4,4,16,141.0,197.0,1.03584
PH10033,Simvastatin 20mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,56.1,30.3,32.9,0.05592,10.82,10.85,6,3,18,113.69999999999999,219.76,1.00656
PH10034,Ibuprofen 200mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,33.1,33.6,31.0,0.03448,6.29,14.51,9,2,18,77.0,138.22,0.62064
PH10035,Metoprolol 50mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,59.6,34.9,26.8,0.05575,14.35,22.98,2,2,4,68.6,82.4,0.223
PH10036,Bisoprolol 2.5mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,100,57.8,36.7,22.1,0.04688,9.02,23.52,4,3,12,81.30000000000001,133.24,0.56256
PH10037,Montelukast 10mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240,51.9,42.4,18.3,0.04027,7.05,14.42,4,4,16,88.2,137.8,0.64432
PH10038,Pantoprazole 20mg Tablets 10x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,33.3,39.5,26.9,0.03538,5.79,19.53,9,5,45,149.5,285.55,1.5921
PH10039,Atorvastatin 40mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,46.2,28.8,21.9,0.02914,8.23,4.35,8,3,24,80.69999999999999,222.52,0.69936
PH10040,Warfarin 5mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,100,43.3,41.9,27.0,0.04899,11.04,13.85,4,3,12,96.0,157.48,0.58788
PH10041,Amlodipine 5mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,100,56.8,32.1,19.7,0.03592,8.0,24.46,6,6,36,133.2,313.0,1.29312
PH10042,Glimepiride 4mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,50.2,38.4,33.7,0.06496,15.47,8.54,2,4,8,149.8,148.76,0.51968
PH10043,Atorvastatin 10mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,180,36.9,35.6,16.2,0.02128,5.36,2.65,5,9,45,160.79999999999998,266.20000000000005,0.9576
PH10045,Atorvastatin 40mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,43.5,36.9,34.6,0.05554,9.54,19.82,6,3,18,118.80000000000001,196.71999999999997,0.9997199999999999
PH10046,Warfarin 1mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,41.5,43.5,16.3,0.02943,6.21,20.66,2,7,14,129.10000000000002,111.94,0.41202
PH10047,Metformin 850mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,45.3,43.1,19.8,0.03866,11.06,4.14,4,7,28,153.6,334.68,1.0824799999999999
PH10048,Simvastatin 40mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,54.2,38.7,32.2,0.06754,13.01,3.27,4,4,16,143.8,233.16,1.08064
PH10049,Amlodipine 5mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,180,52.5,41.2,31.6,0.06835,17.57,8.64,4,2,8,78.2,165.56,0.5468
PH10050,Escitalopram 10mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,53.0,44.3,22.0,0.05165,12.46,24.31,4,5,20,125.0,274.20000000000005,1.033
PH10051,Escitalopram 10mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,57.7,39.2,29.1,0.06582,17.87,11.21,4,4,16,131.4,310.92,1.05312
PH10053,Simvastatin 40mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,54.7,43.6,25.1,0.05986,11.02,23.17,4,3,12,90.30000000000001,157.24,0.71832
PH10054,Esomeprazole 40mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,57.5,44.2,32.8,0.08336,16.28,24.78,4,3,12,113.39999999999999,220.36,1.00032
PH10055,Ibuprofen 200mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,120,30.7,30.0,33.6,0.03095,9.28,20.69,11,4,44,149.4,433.32,1.3618
PH10056,Allopurinol 100mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,53.3,36.4,22.9,0.04443,7.21,3.94,3,3,9,83.69999999999999,89.89,0.39986999999999995
PH10057,Glimepiride 2mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100,37.9,34.9,30.5,0.04034,10.87,21.5,6,2,12,76.0,155.44,0.48408
PH10058,Pantoprazole 40mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,120,43.2,37.1,33.4,0.05353,11.46,19.25,6,3,18,115.19999999999999,231.28000000000003,0.9635400000000001
PH10059,Telmisartan 80mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,180,55.2,40.3,25.7,0.05717,11.86,2.49,4,5,20,143.5,262.2,1.1434
PH10060,Paracetamol 500mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,58.5,34.4,21.0,0.04226,9.62,10.79,2,7,14,162.0,159.67999999999998,0.5916399999999999
PH10061,Simvastatin 40mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,120,32.3,44.6,15.3,0.02204,4.98,20.07,6,7,42,122.10000000000001,234.16000000000003,0.9256800000000001
PH10062,Amlodipine 5mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,49.9,39.1,16.9,0.03297,9.87,19.36,6,8,48,150.2,498.76,1.58256
PH10063,Simvastatin 40mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,54.2,44.2,29.4,0.07043,16.09,16.72,4,5,20,162.0,346.8,1.4086
PH10064,Telmisartan 80mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,240,48.7,25.0,18.0,0.02192,6.54,8.11,8,5,40,105.0,286.6,0.8767999999999999
PH10065,Rosuvastatin 20mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,180,54.3,32.4,29.5,0.0519,11.84,21.07,4,5,20,162.5,261.8,1.038
PH10066,Atorvastatin 10mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,33.6,35.4,32.3,0.03842,7.09,3.7,6,2,12,79.6,110.08,0.46104
PH10067,Montelukast 10mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,240,32.5,40.7,31.8,0.04206,11.95,23.33,6,2,12,78.6,168.39999999999998,0.5047200000000001
PH10068,Ciprofloxacin 250mg Tablets 10x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,46.1,37.6,34.1,0.05911,9.32,15.42,5,3,15,117.30000000000001,164.8,0.88665
PH10069,Amlodipine 10mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,240,57.9,39.9,27.1,0.06261,14.68,18.99,4,2,8,69.2,142.44,0.50088
PH10070,Sertraline 50mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100,46.8,40.3,34.3,0.06469,15.07,8.63,4,3,12,117.89999999999999,205.84,0.77628
PH10071,Metformin 850mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,53.8,41.5,34.6,0.07725,12.3,13.41,3,3,9,118.80000000000001,135.7,0.69525
PH10072,Azithromycin 250mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120,44.3,29.4,35.0,0.04558,8.53,8.54,7,2,14,85.0,144.42,0.63812
PH10073,Esomeprazole 40mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,180,53.3,38.9,30.7,0.06365,13.7,19.04,4,4,16,137.8,244.2,1.0184
PH10074,Paracetamol 500mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,60,55.4,43.0,34.9,0.08314,15.96,2.12,4,4,16,154.6,280.36,1.33024
PH10075,Escitalopram 20mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,34.3,40.6,31.1,0.04331,8.03,18.76,6,4,24,139.4,217.71999999999997,1.03944
PH10076,Metformin 500mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,35.5,40.1,16.0,0.02278,6.45,9.41,6,8,48,143.0,334.6,1.0934400000000002
PH10077,Prednisolone 5mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,180,58.5,34.0,23.0,0.04575,7.28,21.55,4,5,20,130.0,170.6,0.915
PH10078,Furosemide 40mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,30.2,38.0,27.2,0.03121,5.58,17.98,9,4,36,123.8,225.88,1.1235600000000001
PH10079,Allopurinol 100mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,60,56.7,34.6,22.8,0.04473,10.73,24.34,4,3,12,83.4,153.76,0.53676
PH10080,Loratadine 10mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,42.9,31.0,22.4,0.02979,6.0,10.8,6,4,24,104.6,169.0,0.71496
PH10081,Metformin 500mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,49.1,37.6,17.3,0.03194,5.4,19.85,4,8,32,153.4,197.8,1.02208
PH10082,Ciprofloxacin 250mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120,34.5,26.7,26.1,0.02404,3.94,15.32,9,5,45,145.5,202.3,1.0817999999999999
PH10083,Clopidogrel 75mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,180,45.4,25.3,30.3,0.0348,7.61,17.65,8,3,24,105.9,207.64000000000001,0.8351999999999999
PH10084,Diclofenac 50mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,55.9,40.6,19.2,0.04358,11.23,14.6,4,6,24,130.2,294.52,1.04592
PH10085,Allopurinol 300mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,100,43.5,37.1,22.6,0.03647,9.83,24.8,6,4,24,105.4,260.92,0.8752800000000001
PH10086,Losartan 100mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,50.6,38.0,30.3,0.05826,11.97,3.97,4,3,12,105.9,168.64000000000001,0.69912
PH10087,Bisoprolol 5mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,120,58.3,26.6,33.2,0.05149,8.74,7.56,6,2,12,81.4,129.88,0.61788
PH10088,Glimepiride 2mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,53.7,32.8,23.8,0.04192,10.01,20.08,6,3,18,86.4,205.18,0.75456
PH10089,Metoprolol 50mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,240,41.0,34.7,33.3,0.04738,11.95,3.72,6,3,18,114.89999999999999,240.1,0.8528399999999999
PH10090,Levothyroxine 50mcg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,40.3,36.3,23.8,0.03482,9.98,6.76,6,3,18,86.4,204.64000000000001,0.62676
PH10091,Atorvastatin 10mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,51.5,34.9,29.7,0.05338,13.17,24.15,4,3,12,104.1,183.04,0.64056
PH10092,Bisoprolol 5mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,180,50.7,25.3,15.6,0.02001,5.86,8.11,6,4,24,77.4,165.64000000000001,0.48024
PH10093,Pantoprazole 20mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,43.8,27.8,21.1,0.02569,4.2,19.2,8,6,48,141.60000000000002,226.60000000000002,1.23312
PH10094,Loratadine 10mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,240,59.1,29.7,19.4,0.03405,5.35,24.57,6,5,30,112.0,185.5,1.0214999999999999
PH10095,Amlodipine 10mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,51.7,35.3,18.2,0.03322,6.62,20.17,4,6,24,124.19999999999999,183.88,0.79728
PH10096,Cetirizine 10mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,180,54.5,25.4,26.0,0.03599,7.02,17.14,6,2,12,67.0,109.24,0.43188000000000004
PH10097,Rosuvastatin 5mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,100,57.1,37.8,26.2,0.05655,15.26,5.13,4,5,20,146.0,330.2,1.131
PH10098,Warfarin 1mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,240,58.2,43.9,27.8,0.07103,18.51,5.26,4,4,16,126.2,321.16,1.13648
PH10099,Simvastatin 40mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,180,48.3,41.3,19.6,0.0391,10.58,4.22,4,6,24,132.60000000000002,278.92,0.9384000000000001
PH10100,Carvedilol 6.25mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,51.1,36.5,29.2,0.05446,14.9,2.21,4,3,12,102.6,203.8,0.65352
PH10101,Azithromycin 500mg Tablets 2x14,Arcadine Pharma,Pharma,Tablets,Below 25C,60,51.6,31.1,22.6,0.03627,8.34,16.17,6,5,30,128.0,275.2,1.0880999999999998
PH10102,Montelukast 10mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,60,30.3,38.8,34.0,0.03997,9.27,7.64,9,3,27,117.0,275.28999999999996,1.0791899999999999
PH10103,Gliclazide 80mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,100,36.2,37.7,15.6,0.02129,4.05,15.9,6,7,42,124.2,195.1,0.89418
PH10104,Azithromycin 500mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,180,31.6,38.3,31.9,0.03861,9.6,8.56,9,4,36,142.6,370.59999999999997,1.3899599999999999
PH10105,Carvedilol 6.25mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,60,57.9,36.4,26.3,0.05543,12.15,14.92,4,3,12,93.9,170.8,0.66516
PH10106,Bisoprolol 2.5mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,32.3,43.5,32.9,0.04623,11.0,9.35,6,3,18,113.69999999999999,223.0,0.83214
PH10107,Diclofenac 50mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,240,40.6,38.3,28.8,0.04478,12.33,21.17,6,3,18,101.4,246.94,0.80604
PH10108,Esomeprazole 20mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,120,51.0,41.2,28.7,0.0603,9.91,15.65,2,3,6,101.1,84.46000000000001,0.3618
PH10109,Carvedilol 25mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,60,30.4,41.8,18.8,0.02389,3.97,10.51,6,5,30,109.0,144.10000000000002,0.7167
PH10110,Rosuvastatin 10mg Tablets 10x10,Dunmore Therapeutics,Pharma,Tablets,Below 25C,120,30.3,29.0,17.9,0.01573,2.49,3.36,12,6,72,122.39999999999999,204.28000000000003,1.13256
PH10111,Gliclazide 80mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,48.0,31.8,20.9,0.0319,9.29,10.48,6,4,24,98.6,247.95999999999998,0.7656
PH10112,Bisoprolol 5mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,180,41.3,30.8,18.5,0.02353,6.42,3.27,6,5,30,107.5,217.6,0.7059
PH10113,Rosuvastatin 5mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,46.1,40.3,21.8,0.0405,9.97,10.27,4,5,20,124.0,224.4,0.81
PH10114,Telmisartan 40mg Tablets 2x14,Arcadine Pharma,Pharma,Tablets,Below 25C,180,34.1,36.9,19.1,0.02403,6.09,18.72,6,6,36,129.60000000000002,244.24,0.86508
PH10115,Metoprolol 100mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,40.3,28.1,23.6,0.02673,6.75,3.27,8,5,40,133.0,295.0,1.0692
PH10116,Atorvastatin 10mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,120,57.7,29.1,19.7,0.03308,8.25,13.3,6,5,30,113.5,272.5,0.9924
PH10117,Sertraline 100mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,240,55.8,44.0,26.2,0.06433,9.93,15.46,4,5,20,146.0,223.6,1.2866
PH10118,Amlodipine 5mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,50.7,35.9,21.1,0.0384,6.55,19.12,4,4,16,99.4,129.8,0.6144
PH10119,Ciprofloxacin 250mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,240,51.0,34.2,23.0,0.04012,8.74,17.59,4,5,20,130.0,199.8,0.8024
PH10120,Cetirizine 10mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,51.0,44.6,28.7,0.06528,10.04,12.43,3,3,9,101.1,115.35999999999999,0.58752
PH10121,Pantoprazole 40mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,120,39.2,28.6,15.9,0.01783,5.18,9.53,9,4,36,78.6,211.48,0.64188
PH10122,Allopurinol 300mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100,58.1,27.0,27.1,0.04251,8.86,17.3,6,4,24,123.4,237.64,1.02024
PH10123,Sertraline 50mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,36.3,40.7,25.7,0.03797,6.46,19.14,6,5,30,143.5,218.8,1.1391
PH10124,Prednisolone 25mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,120,42.1,35.5,27.2,0.04065,10.05,5.5,6,5,30,151.0,326.5,1.2195
PH10125,Carvedilol 25mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,180,41.1,32.6,29.1,0.03899,10.49,10.79,5,5,25,160.5,287.25,0.9747499999999999
PH10126,Ibuprofen 200mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,180,39.0,27.1,16.7,0.01765,4.41,7.11,9,8,72,148.6,342.52,1.2708
PH10127,Sertraline 50mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,240,50.5,25.3,29.9,0.0382,11.2,24.75,6,5,30,164.5,361.0,1.146
PH10128,Rosuvastatin 5mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,46.7,26.4,16.2,0.01997,5.65,9.07,8,6,48,112.19999999999999,296.20000000000005,0.9585600000000001
PH10129,Rosuvastatin 20mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,39.9,41.6,30.2,0.05013,11.73,18.63,6,2,12,75.4,165.76,0.60156
PH10130,Atorvastatin 20mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,34.0,40.1,16.9,0.02304,6.13,11.0,6,5,30,99.5,208.9,0.6912
PH10131,Diclofenac 50mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,37.0,35.3,18.8,0.02455,6.52,20.72,6,7,42,146.6,298.84,1.0311
PH10132,Paracetamol 500mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,56.7,34.7,33.3,0.06552,13.41,19.15,4,3,12,114.89999999999999,185.92000000000002,0.7862399999999999
PH10133,Telmisartan 80mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,46.8,28.7,32.2,0.04325,11.81,13.84,8,4,32,143.8,402.92,1.384
PH10134,Escitalopram 20mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,120,40.7,35.5,25.8,0.03728,7.92,4.57,6,4,24,118.2,215.07999999999998,0.89472
PH10135,Rosuvastatin 20mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,100,40.6,41.1,23.1,0.03855,9.38,3.69,4,3,12,84.30000000000001,137.56,0.4626
PH10136,Metoprolol 100mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,100,34.0,33.2,33.3,0.03759,5.89,16.75,9,3,27,114.89999999999999,184.03,1.0149299999999999
PH10137,Ibuprofen 400mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,58.4,37.8,30.1,0.06645,14.85,18.34,4,2,8,75.2,143.8,0.5316
PH10138,Loratadine 10mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,180,37.8,39.1,19.7,0.02912,5.31,15.9,6,3,18,74.1,120.58,0.52416
PH10139,Prednisolone 25mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,49.4,29.6,30.4,0.04445,12.44,23.77,8,3,24,106.19999999999999,323.56,1.0668000000000002
PH10140,Sertraline 50mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,60,57.7,43.1,34.7,0.08629,24.99,9.19,3,4,12,153.8,324.88,1.0354800000000002
PH10141,Clopidogrel 75mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,56.0,44.9,27.4,0.06889,19.07,5.92,4,5,20,152.0,406.4,1.3778000000000001
