sku,description,principal,category,product_group,storage_condition,units_per_case,case_length_cm,case_width_cm,case_height_cm,case_cbm,case_weight_kg,unit_cost_nzd,ti_cases_per_layer,hi_layers
PH10038,Pantoprazole 20mg Tablets 10x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,33.3,39.5,26.9,0.03538,5.79,19.53,9,5
PH10039,Atorvastatin 40mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,46.2,28.8,21.9,0.02914,8.23,4.35,8,3
PH10040,Warfarin 5mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,100,43.3,41.9,27.0,0.04899,11.04,13.85,4,3
PH10041,Amlodipine 5mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,100,56.8,32.1,19.7,0.03592,8.0,24.46,6,6
PH10042,Glimepiride 4mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,50.2,38.4,33.7,0.06496,15.47,8.54,2,4
PH10043,Atorvastatin 10mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,180,36.9,35.6,16.2,0.02128,5.36,2.65,5,9
PH10044,Azithromycin 500mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,34.9,37.4,23.2,0.03028,0.0,10.61,5,6
PH10045,Atorvastatin 40mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,43.5,36.9,34.6,0.05554,9.54,19.82,6,3
PH10046,Warfarin 1mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,41.5,43.5,16.3,0.02943,6.21,20.66,2,0
PH10047,Metformin 850mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,45.3,43.1,19.8,0.03866,11.06,4.14,4,7
PH10048,Simvastatin 40mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,54.2,38.7,32.2,0.06754,13.01,3.27,4,4
PH10049,Amlodipine 5mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,180,52.5,41.2,31.6,0.06835,17.57,8.64,4,2
PH10050,Escitalopram 10mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,53.0,44.3,22.0,0.05165,12.46,24.31,4,5
PH10051,Escitalopram 10mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,57.7,39.2,29.1,0.06582,17.87,11.21,4,4
PH10052,Sertraline 50mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,36.8,26.3,0.0,0.01887,5.07,4.96,9,7
PH10053,Simvastatin 40mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,54.7,43.6,25.1,0.05986,11.02,23.17,4,3
PH10054,Esomeprazole 40mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,57.5,44.2,32.8,0.08336,16.28,24.78,4,3
PH10055,Ibuprofen 200mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,120,30.7,30.0,33.6,0.03095,9.28,20.69,11,4
PH10056,Allopurinol 100mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,53.3,36.4,22.9,0.04443,7.21,3.94,3,3
PH10057,Glimepiride 2mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100,37.9,34.9,30.5,0.04034,10.87,21.5,6,2
PH10058,Pantoprazole 40mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,120,43.2,37.1,33.4,0.05353,11.46,19.25,6,3
PH10059,Telmisartan 80mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,180,55.2,40.3,25.7,0.05717,11.86,2.49,4,5
PH10060,Paracetamol 500mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,58.5,34.4,21.0,0.04226,9.62,10.79,2,7
PH10061,Simvastatin 40mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,120,32.3,44.6,15.3,0.02204,4.98,20.07,6,7
PH10062,Amlodipine 5mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,49.9,39.1,16.9,0.03297,9.87,19.36,6,8
PH10063,Simvastatin 40mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,54.2,44.2,29.4,0.07043,16.09,16.72,4,5
PH10064,Telmisartan 80mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,240,48.7,25.0,18.0,0.02192,6.54,8.11,8,5
PH10065,Rosuvastatin 20mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,180,54.3,32.4,29.5,0.0519,11.84,21.07,4,5
PH10066,Atorvastatin 10mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180,33.6,35.4,32.3,0.03842,7.09,3.7,6,2
PH10067,Montelukast 10mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,240,32.5,40.7,31.8,0.04206,11.95,23.33,6,2
PH10068,Ciprofloxacin 250mg Tablets 10x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,46.1,37.6,34.1,0.05911,9.32,15.42,5,3
PH10069,Amlodipine 10mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,240,57.9,39.9,27.1,0.06261,14.68,18.99,4,2
PH10070,Sertraline 50mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100,46.8,40.3,34.3,0.06469,15.07,8.63,4,3
PH10071,Metformin 850mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,53.8,41.5,34.6,0.07725,12.3,13.41,3,3
PH10072,Azithromycin 250mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120,44.3,29.4,35.0,0.04558,8.53,8.54,7,2
PH10073,Esomeprazole 40mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,180,53.3,38.9,30.7,0.06365,13.7,19.04,4,4
PH10074,Paracetamol 500mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,60,55.4,43.0,34.9,0.08314,15.96,2.12,4,4
PH10075,Escitalopram 20mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,34.3,40.6,31.1,0.04331,8.03,18.76,6,4
PH10076,Metformin 500mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,35.5,40.1,16.0,0.02278,6.45,9.41,6,8
PH10077,Prednisolone 5mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,180,58.5,34.0,23.0,0.04575,7.28,21.55,4,5
PH10078,Furosemide 40mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,30.2,38.0,27.2,0.03121,5.58,17.98,9,4
PH10079,Allopurinol 100mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,60,56.7,34.6,22.8,0.04473,10.73,24.34,4,3
PH10080,Loratadine 10mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,42.9,31.0,22.4,0.02979,6.0,10.8,6,4
PH10081,Metformin 500mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180,49.1,37.6,17.3,0.03194,5.4,19.85,4,8
PH10082,Ciprofloxacin 250mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120,34.5,26.7,26.1,0.02404,3.94,15.32,9,5
PH10083,Clopidogrel 75mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,180,45.4,25.3,30.3,0.0348,7.61,17.65,8,3
PH10084,Diclofenac 50mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,55.9,40.6,19.2,0.04358,11.23,14.6,4,6
PH10085,Allopurinol 300mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,100,43.5,37.1,22.6,0.03647,9.83,24.8,6,4
PH10086,Losartan 100mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,50.6,38.0,30.3,0.05826,11.97,3.97,4,3
PH10087,Bisoprolol 5mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,120,58.3,26.6,33.2,0.05149,8.74,7.56,6,2
PH10088,Glimepiride 2mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,53.7,32.8,23.8,0.04192,10.01,20.08,6,3
PH10089,Metoprolol 50mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,240,41.0,34.7,33.3,0.04738,11.95,3.72,6,3
PH10090,Levothyroxine 50mcg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,40.3,36.3,23.8,0.03482,9.98,6.76,6,3
PH10091,Atorvastatin 10mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,51.5,34.9,29.7,0.05338,13.17,24.15,4,3
PH10092,Bisoprolol 5mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,180,50.7,25.3,15.6,0.02001,5.86,8.11,6,4
PH10093,Pantoprazole 20mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,43.8,27.8,21.1,0.02569,4.2,19.2,8,0
PH10094,Loratadine 10mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,240,59.1,29.7,19.4,0.03405,5.35,24.57,6,5
PH10095,Amlodipine 10mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,51.7,35.3,18.2,0.03322,6.62,20.17,4,6
PH10096,Cetirizine 10mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,180,54.5,25.4,26.0,0.03599,7.02,17.14,6,2
PH10097,Rosuvastatin 5mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,100,57.1,37.8,26.2,0.05655,15.26,5.13,4,5
PH10098,Warfarin 1mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,240,58.2,43.9,27.8,0.07103,18.51,5.26,4,4
PH10099,Simvastatin 40mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,180,48.3,41.3,19.6,0.0391,10.58,4.22,4,6
PH10100,Carvedilol 6.25mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,51.1,36.5,29.2,0.05446,14.9,2.21,4,3
PH10101,Azithromycin 500mg Tablets 2x14,Arcadine Pharma,Pharma,Tablets,Below 25C,60,51.6,31.1,22.6,0.03627,8.34,16.17,6,5
PH10102,Montelukast 10mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,60,30.3,38.8,34.0,0.03997,9.27,7.64,9,3
PH10103,Gliclazide 80mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,100,36.2,37.7,15.6,0.02129,4.05,15.9,6,7
PH10104,Azithromycin 500mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,180,31.6,38.3,31.9,0.03861,9.6,8.56,9,4
PH10105,Carvedilol 6.25mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,60,57.9,36.4,26.3,0.05543,12.15,14.92,4,3
PH10106,Bisoprolol 2.5mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,32.3,43.5,32.9,0.04623,11.0,9.35,6,3
PH10107,Diclofenac 50mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,240,40.6,38.3,28.8,0.04478,12.33,21.17,6,3
PH10108,Esomeprazole 20mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,120,51.0,41.2,28.7,0.0603,9.91,15.65,2,3
PH10109,Carvedilol 25mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,60,30.4,41.8,18.8,0.02389,3.97,10.51,6,5
PH10110,Rosuvastatin 10mg Tablets 10x10,Dunmore Therapeutics,Pharma,Tablets,Below 25C,120,30.3,29.0,17.9,0.01573,2.49,3.36,12,6
PH10111,Gliclazide 80mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,48.0,31.8,20.9,0.0319,9.29,10.48,6,4
PH10112,Bisoprolol 5mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,180,41.3,30.8,18.5,0.02353,6.42,3.27,6,5
PH10113,Rosuvastatin 5mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,46.1,40.3,21.8,0.0405,9.97,10.27,4,5
PH10114,Telmisartan 40mg Tablets 2x14,Arcadine Pharma,Pharma,Tablets,Below 25C,180,34.1,36.9,19.1,0.02403,6.09,18.72,6,6
PH10115,Metoprolol 100mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,40.3,28.1,23.6,0.02673,6.75,3.27,8,0
PH10116,Atorvastatin 10mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,120,57.7,29.1,19.7,0.03308,8.25,13.3,6,5
PH10117,Sertraline 100mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,240,55.8,44.0,26.2,0.06433,9.93,15.46,4,5
PH10118,Amlodipine 5mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,50.7,35.9,21.1,0.0384,6.55,19.12,4,4
PH10119,Ciprofloxacin 250mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,240,51.0,34.2,23.0,0.04012,8.74,17.59,4,5
PH10120,Cetirizine 10mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,51.0,44.6,28.7,0.06528,10.04,12.43,3,3
PH10121,Pantoprazole 40mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,120,39.2,28.6,15.9,0.01783,5.18,9.53,9,4
PH10122,Allopurinol 300mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100,58.1,27.0,27.1,0.04251,8.86,17.3,6,4
PH10123,Sertraline 50mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,240,36.3,40.7,25.7,0.03797,6.46,19.14,6,5
PH10124,Prednisolone 25mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,120,42.1,35.5,27.2,0.04065,10.05,5.5,6,5
PH10125,Carvedilol 25mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,180,41.1,32.6,29.1,0.03899,10.49,10.79,5,5
PH10126,Ibuprofen 200mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,180,39.0,27.1,16.7,0.01765,4.41,7.11,9,8
PH10127,Sertraline 50mg Tablets 2x14,Halvora Healthcare,Pharma,Tablets,Below 25C,240,50.5,25.3,29.9,0.0382,11.2,24.75,6,5
PH10128,Rosuvastatin 5mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,46.7,26.4,16.2,0.01997,5.65,9.07,8,6
PH10129,Rosuvastatin 20mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,100,39.9,41.6,30.2,0.05013,11.73,18.63,6,2
PH10130,Atorvastatin 20mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,34.0,40.1,16.9,0.02304,6.13,11.0,6,5
PH10131,Diclofenac 50mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,37.0,35.3,18.8,0.02455,6.52,20.72,6,7
PH10132,Paracetamol 500mg Tablets 30s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,56.7,34.7,33.3,0.06552,13.41,19.15,4,3
PH10133,Telmisartan 80mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,46.8,28.7,32.2,0.04325,11.81,13.84,8,4
PH10134,Escitalopram 20mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,120,40.7,35.5,25.8,0.03728,7.92,4.57,6,4
PH10135,Rosuvastatin 20mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,100,40.6,41.1,23.1,0.03855,9.38,3.69,4,3
PH10136,Metoprolol 100mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,100,34.0,33.2,33.3,0.03759,5.89,16.75,9,3
PH10137,Ibuprofen 400mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,58.4,37.8,30.1,0.06645,14.85,18.34,4,2
PH10138,Loratadine 10mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,180,37.8,39.1,19.7,0.02912,5.31,15.9,6,3
PH10139,Prednisolone 25mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,49.4,29.6,30.4,0.04445,12.44,23.77,8,3
PH10140,Sertraline 50mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,60,57.7,43.1,34.7,0.08629,24.99,9.19,3,4
PH10141,Clopidogrel 75mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60,56.0,44.9,27.4,0.06889,19.07,5.92,4,5
PH10142,Rosuvastatin 10mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,240,56.3,39.4,33.5,0.07431,19.24,23.41,4,3
PH10143,Ciprofloxacin 250mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,46.6,28.0,34.2,0.04462,12.85,21.01,8,3
PH10144,Losartan 100mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,58.2,37.9,19.4,0.04279,6.51,7.92,4,6
PH10145,Metformin 850mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,120,38.1,26.8,22.6,0.02308,5.26,12.44,9,5
PH10146,Cetirizine 10mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,100,34.4,29.7,21.4,0.02186,4.04,7.87,13,4
PH10147,Levothyroxine 50mcg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,120,53.5,32.3,22.6,0.03905,0.0,15.37,6,6
PH10148,Ibuprofen 200mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,240,31.9,42.2,27.5,0.03702,10.56,9.25,6,4
PH10149,Simvastatin 20mg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,60,58.8,40.1,19.5,0.04598,12.55,16.8,4,6
PH10150,Bisoprolol 2.5mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100,51.9,30.7,15.4,0.02454,4.81,12.56,6,7
PH10151,Pantoprazole 40mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,240,56.4,30.0,28.6,0.04839,8.1,17.0,5,3
PH10152,Clopidogrel 75mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120,31.2,30.6,32.7,0.03122,7.37,20.61,9,4
PH10153,Esomeprazole 40mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,180,50.2,41.5,29.6,0.06167,9.82,8.57,4,5
PH10154,Amlodipine 10mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,120,38.4,34.4,21.6,0.02853,6.26,16.81,6,6
PH10155,Telmisartan 40mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,60,35.7,34.1,21.8,0.02654,4.22,12.82,6,5
PH10156,Metformin 500mg Tablets 10x10,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240,51.2,42.5,25.1,0.05462,15.2,22.59,4,3
PH10157,Levothyroxine 100mcg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,240,30.9,42.6,28.2,0.03712,6.22,13.25,6,3
PH10158,Losartan 50mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,120,32.0,33.3,18.2,0.01939,5.53,17.15,9,4
PH10159,Glimepiride 2mg Tablets 100s,Arcadine Pharma,Pharma,Tablets,Below 25C,60,49.2,44.6,26.2,0.05749,12.48,18.08,4,5
PH10160,Ibuprofen 400mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,100,43.0,28.8,16.1,0.01994,4.29,3.54,8,9
PH10161,Escitalopram 20mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,240,46.7,26.8,29.5,0.03692,6.11,2.61,8,3
PH10162,Levothyroxine 50mcg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240,33.7,43.8,20.5,0.03026,5.26,15.66,6,6
PH10163,Telmisartan 40mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,100,43.9,44.2,31.6,0.06132,13.35,2.08,4,2
PH10164,Simvastatin 20mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180,55.5,30.1,23.6,0.03942,9.26,12.57,6,3
PH10165,Losartan 50mg Tablets 30s,Venrick Laboratories,Pharma,Tablets,Below 25C,240,53.3,34.8,31.9,0.05917,13.22,2.83,4,4
PH10166,Clopidogrel 75mg Tablets 30s,Corvane Pharma,Pharma,Tablets,Below 25C,120,41.6,32.4,31.0,0.04178,11.45,20.68,6,4
PH10167,Esomeprazole 20mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120,32.0,41.0,18.0,0.02362,3.83,23.56,6,7
PH10168,Carvedilol 6.25mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100,55.8,34.1,19.2,0.03653,5.86,9.48,2,3
PH10169,Allopurinol 300mg Tablets 100s,Venrick Laboratories,Pharma,Tablets,Below 25C,100,31.5,26.1,32.4,0.02664,6.72,9.25,12,2
