order_no,order_date,customer_id,channel,sku,qty_units
500004,2025-11-03,DST-0004,Distributor,PH10408,162
500004,2025-11-03,DST-0004,Distributor,PH10266,1400
500004,2025-11-03,DST-0004,Distributor,PH10236,960
500005,2025-11-03,DST-0005,Distributor,PH10121,360
500005,2025-11-03,DST-0005,Distributor,PH10380,70
500005,2025-11-03,DST-0005,Distributor,PH10232,480
500005,2025-11-03,DST-0005,Distributor,PH10444,50
500005,2025-11-03,DST-0005,Distributor,PH10299,100
500005,2025-11-03,DST-0005,Distributor,PH10191,297
500005,2025-11-03,DST-0005,Distributor,PH10095,198
500005,2025-11-03,DST-0005,Distributor,PH10101,180
500005,2025-11-03,DST-0005,Distributor,PH10230,300
500006,2025-11-03,DST-0006,Distributor,PH10166,240
500006,2025-11-03,DST-0006,Distributor,PH10209,165
500006,2025-11-03,DST-0006,Distributor,PH10093,360
500006,2025-11-03,DST-0006,Distributor,PH10524,26
500006,2025-11-03,DST-0006,Distributor,PH10130,600
500006,2025-11-03,DST-0006,Distributor,SG20016,161
500006,2025-11-03,DST-0006,Distributor,SG20016,154
500006,2025-11-03,DST-0006,Distributor,PH10305,239
500006,2025-11-03,DST-0006,Distributor,PH10185,214
500006,2025-11-03,DST-0006,Distributor,PH10502,200
500007,2025-11-03,DST-0007,Distributor,PH10332,72
500007,2025-11-03,DST-0007,Distributor,PH10196,69
500007,2025-11-03,DST-0007,Distributor,SG20021,34
500007,2025-11-03,DST-0007,Distributor,SG20043,50
500007,2025-11-03,DST-0007,Distributor,PH10196,240
500008,2025-11-03,DST-0008,Distributor,PH10444,67
500008,2025-11-03,DST-0008,Distributor,PH10306,300
500008,2025-11-03,DST-0008,Distributor,PH10362,241
500008,2025-11-03,DST-0008,Distributor,PH10132,228
500008,2025-11-03,DST-0008,Distributor,PH10158,167
500008,2025-11-03,DST-0008,Distributor,PH10311,840
500008,2025-11-03,DST-0008,Distributor,PH10023,1260
500008,2025-11-03,DST-0008,Distributor,PH10381,33
500008,2025-11-03,DST-0008,Distributor,PH10032,200
500008,2025-11-03,DST-0008,Distributor,PH10230,180
500008,2025-11-03,DST-0008,Distributor,SG20016,350
500008,2025-11-03,DST-0008,Distributor,PH10248,240
500009,2025-11-03,DST-0009,Distributor,PH10432,55
500009,2025-11-03,DST-0009,Distributor,PH10172,240
500009,2025-11-03,DST-0009,Distributor,PH10359,243
500009,2025-11-03,DST-0009,Distributor,PH10188,240
500009,2025-11-03,DST-0009,Distributor,PH10196,300
500010,2025-11-03,DST-0010,Distributor,PH10441,70
500010,2025-11-03,DST-0010,Distributor,PH10106,115
500010,2025-11-03,DST-0010,Distributor,PH10085,200
500010,2025-11-03,DST-0010,Distributor,PH10331,36
500010,2025-11-03,DST-0010,Distributor,PH10462,299
500010,2025-11-03,DST-0010,Distributor,PH10120,540
500011,2025-11-03,DST-0011,Distributor,PH10193,600
500011,2025-11-03,DST-0011,Distributor,PH10085,500
500011,2025-11-03,DST-0011,Distributor,SG20011,40
500011,2025-11-03,DST-0011,Distributor,PH10426,300
500011,2025-11-03,DST-0011,Distributor,PH10420,223
500011,2025-11-03,DST-0011,Distributor,PH10236,1440
500011,2025-11-03,DST-0011,Distributor,PH10231,208
500011,2025-11-03,DST-0011,Distributor,PH10172,240
500011,2025-11-03,DST-0011,Distributor,PH10191,170
500011,2025-11-03,DST-0011,Distributor,PH10289,100
500012,2025-11-03,DST-0012,Distributor,PH10178,1080
500012,2025-11-03,DST-0012,Distributor,PH10176,200
500012,2025-11-03,DST-0012,Distributor,SG20021,60
500012,2025-11-03,DST-0012,Distributor,PH10502,41
500012,2025-11-03,DST-0012,Distributor,PH10313,200
500012,2025-11-03,DST-0012,Distributor,PH10349,32
500013,2025-11-03,HSP-0001,Hospital,PH10236,27
500013,2025-11-03,HSP-0001,Hospital,SG20011,11
500014,2025-11-03,HSP-0002,Hospital,PH10528,94
500014,2025-11-03,HSP-0002,Hospital,PH10400,25
500014,2025-11-03,HSP-0002,Hospital,PH10183,92
500014,2025-11-03,HSP-0002,Hospital,PH10206,112
500015,2025-11-03,HSP-0003,Hospital,PH10067,52
500015,2025-11-03,HSP-0003,Hospital,PH10366,79
500015,2025-11-03,HSP-0003,Hospital,PH10025,75
500016,2025-11-03,HSP-0004,Hospital,PH10356,63
500016,2025-11-03,HSP-0004,Hospital,PH10274,48
500016,2025-11-03,HSP-0004,Hospital,PH10525,29
500016,2025-11-03,HSP-0004,Hospital,PH10513,56
500016,2025-11-03,HSP-0004,Hospital,PH10346,54
500016,2025-11-03,HSP-0004,Hospital,PH10257,109
500017,2025-11-03,HSP-0005,Hospital,PH10236,58
500017,2025-11-03,HSP-0005,Hospital,PH10213,21
500018,2025-11-03,HSP-0006,Hospital,PH10022,112
500018,2025-11-03,HSP-0006,Hospital,PH10153,24
500018,2025-11-03,HSP-0006,Hospital,PH10085,112
500018,2025-11-03,HSP-0006,Hospital,PH10529,20
500019,2025-11-03,HSP-0007,Hospital,PH10245,26
500019,2025-11-03,HSP-0007,Hospital,PH10009,15
500019,2025-11-03,HSP-0007,Hospital,PH10181,91
500019,2025-11-03,HSP-0007,Hospital,SG20016,18
500019,2025-11-03,HSP-0007,Hospital,PH10340,72
500020,2025-11-03,HSP-0008,Hospital,PH10197,33
500020,2025-11-03,HSP-0008,Hospital,PH10155,29
500020,2025-11-03,HSP-0008,Hospital,PH10197,81
500021,2025-11-03,HSP-0009,Hospital,PH10093,85
500022,2025-11-03,HSP-0010,Hospital,PH10374,54
500022,2025-11-03,HSP-0010,Hospital,PH10236,35
500022,2025-11-03,HSP-0010,Hospital,PH10049,10
500022,2025-11-03,HSP-0010,Hospital,PH10045,15
500022,2025-11-03,HSP-0010,Hospital,SG20011,83
500023,2025-11-03,HSP-0011,Hospital,PH10530,52
500023,2025-11-03,HSP-0011,Hospital,PH10045,35
500024,2025-11-03,HSP-0012,Hospital,PH10052,96
500024,2025-11-03,HSP-0012,Hospital,PH10252,59
500024,2025-11-03,HSP-0012,Hospital,PH10497,104
500024,2025-11-03,HSP-0012,Hospital,PH10496,57
500024,2025-11-03,HSP-0012,Hospital,PH10283,40
500025,2025-11-03,HSP-0013,Hospital,PH10528,77
500025,2025-11-03,HSP-0013,Hospital,PH10253,48
500025,2025-11-03,HSP-0013,Hospital,PH10009,112
500025,2025-11-03,HSP-0013,Hospital,PH10426,68
500025,2025-11-03,HSP-0013,Hospital,PH10448,47
500025,2025-11-03,HSP-0013,Hospital,PH10339,11
500026,2025-11-03,HSP-0014,Hospital,PH10321,84
500026,2025-11-03,HSP-0014,Hospital,PH10340,98
500026,2025-11-03,HSP-0014,Hospital,PH10217,15
500026,2025-11-03,HSP-0014,Hospital,PH10095,26
500027,2025-11-03,HSP-0015,Hospital,PH10012,19
500027,2025-11-03,HSP-0015,Hospital,PH10236,71
500028,2025-11-03,HSP-0016,Hospital,SG20016,116
500028,2025-11-03,HSP-0016,Hospital,PH10291,98
500028,2025-11-03,HSP-0016,Hospital,PH10521,13
500028,2025-11-03,HSP-0016,Hospital,PH10297,53
500028,2025-11-03,HSP-0016,Hospital,PH10257,52
500028,2025-11-03,HSP-0016,Hospital,PH10197,11
500028,2025-11-03,HSP-0016,Hospital,PH10252,19
500028,2025-11-03,HSP-0016,Hospital,PH10196,103
500028,2025-11-03,HSP-0016,Hospital,PH10376,116
500028,2025-11-03,HSP-0016,Hospital,PH10528,32
500029,2025-11-03,HSP-0017,Hospital,PH10055,50
500029,2025-11-03,HSP-0017,Hospital,PH10462,50
500030,2025-11-03,HSP-0019,Hospital,PH10075,95
500030,2025-11-03,HSP-0019,Hospital,PH10340,108
500030,2025-11-03,HSP-0019,Hospital,PH10496,18
500030,2025-11-03,HSP-0019,Hospital,PH10209,50
500031,2025-11-03,HSP-0020,Hospital,PH10361,36
500032,2025-11-03,HSP-0021,Hospital,PH10375,112
500032,2025-11-03,HSP-0021,Hospital,PH10528,63
500032,2025-11-03,HSP-0021,Hospital,SG20016,27
500032,2025-11-03,HSP-0021,Hospital,PH10520,104
500033,2025-11-03,HSP-0022,Hospital,SG20021,88
500033,2025-11-03,HSP-0022,Hospital,PH10432,55
500034,2025-11-03,HSP-0023,Hospital,PH10150,49
500034,2025-11-03,HSP-0023,Hospital,SG20021,10
500034,2025-11-03,HSP-0023,Hospital,SG20016,20
500034,2025-11-03,HSP-0023,Hospital,PH10502,75
500034,2025-11-03,HSP-0023,Hospital,PH10250,23
500035,2025-11-03,HSP-0024,Hospital,PH10339,55
500035,2025-11-03,HSP-0024,Hospital,SG20011,94
500035,2025-11-03,HSP-0024,Hospital,PH10093,91
500035,2025-11-03,HSP-0024,Hospital,SG20016,35
500035,2025-11-03,HSP-0024,Hospital,PH10108,63
500035,2025-11-03,HSP-0024,Hospital,PH10334,39
500036,2025-11-03,HSP-0025,Hospital,PH10379,60
500036,2025-11-03,HSP-0025,Hospital,PH10246,100
500036,2025-11-03,HSP-0025,Hospital,PH10230,43
500037,2025-11-03,HSP-0026,Hospital,PH10215,105
500038,2025-11-03,HSP-0027,Hospital,PH10193,106
500038,2025-11-03,HSP-0027,Hospital,PH10048,54
500038,2025-11-03,HSP-0027,Hospital,PH10044,54
500038,2025-11-03,HSP-0027,Hospital,PH10206,14
500039,2025-11-03,HSP-0028,Hospital,SG20036,63
500039,2025-11-03,HSP-0028,Hospital,PH10236,44
500039,2025-11-03,HSP-0028,Hospital,PH10236,110
500040,2025-11-03,HSP-0029,Hospital,PH10427,29
500040,2025-11-03,HSP-0029,Hospital,PH10317,43
500040,2025-11-03,HSP-0029,Hospital,PH10456,72
500040,2025-11-03,HSP-0029,Hospital,PH10395,32
500040,2025-11-03,HSP-0029,Hospital,PH10072,21
500040,2025-11-03,HSP-0029,Hospital,PH10194,51
500040,2025-11-03,HSP-0029,Hospital,PH10148,13
500041,2025-11-03,HSP-0030,Hospital,PH10107,14
500041,2025-11-03,HSP-0030,Hospital,PH10206,26
500041,2025-11-03,HSP-0030,Hospital,PH10083,85
500041,2025-11-03,HSP-0030,Hospital,PH10104,118
500041,2025-11-03,HSP-0030,Hospital,PH10503,43
500041,2025-11-03,HSP-0030,Hospital,PH10432,115
500042,2025-11-03,HSP-0031,Hospital,PH10196,25
500042,2025-11-03,HSP-0031,Hospital,PH10378,67
500042,2025-11-03,HSP-0031,Hospital,PH10382,89
500042,2025-11-03,HSP-0031,Hospital,PH10020,89
500042,2025-11-03,HSP-0031,Hospital,PH10293,58
500042,2025-11-03,HSP-0031,Hospital,PH10193,78
500042,2025-11-03,HSP-0031,Hospital,PH10193,115
500042,2025-11-03,HSP-0031,Hospital,PH10382,23
500042,2025-11-03,HSP-0031,Hospital,PH10248,102
500042,2025-11-03,HSP-0031,Hospital,SG20062,11
500043,2025-11-03,HSP-0032,Hospital,PH10355,116
500043,2025-11-03,HSP-0032,Hospital,PH10517,49
500043,2025-11-03,HSP-0032,Hospital,PH10050,70
500043,2025-11-03,HSP-0032,Hospital,PH10361,84
500043,2025-11-03,HSP-0032,Hospital,PH10462,109
500043,2025-11-03,HSP-0032,Hospital,PH10067,75
500043,2025-11-03,HSP-0032,Hospital,PH10196,31
500044,2025-11-03,HSP-0033,Hospital,PH10420,41
500044,2025-11-03,HSP-0033,Hospital,SG20016,83
500044,2025-11-03,HSP-0033,Hospital,PH10196,86
500044,2025-11-03,HSP-0033,Hospital,PH10299,31
500044,2025-11-03,HSP-0033,Hospital,PH10183,112
500044,2025-11-03,HSP-0033,Hospital,PH10004,46
500044,2025-11-03,HSP-0033,Hospital,PH10055,22
500045,2025-11-03,HSP-0034,Hospital,PH10009,102
500045,2025-11-03,HSP-0034,Hospital,PH10266,114
500045,2025-11-03,HSP-0034,Hospital,PH10148,13
500045,2025-11-03,HSP-0034,Hospital,PH10049,21
500045,2025-11-03,HSP-0034,Hospital,PH10462,67
500046,2025-11-03,HSP-0035,Hospital,PH10283,42
500046,2025-11-03,HSP-0035,Hospital,PH10048,34
500046,2025-11-03,HSP-0035,Hospital,PH10236,52
500046,2025-11-03,HSP-0035,Hospital,PH10283,80
500046,2025-11-03,HSP-0035,Hospital,PH10355,74
500046,2025-11-03,HSP-0035,Hospital,PH10193,76
500046,2025-11-03,HSP-0035,Hospital,PH10166,51
500047,2025-11-03,HSP-0036,Hospital,SG20041,74
500047,2025-11-03,HSP-0036,Hospital,PH10095,107
500047,2025-11-03,HSP-0036,Hospital,PH10311,46
500048,2025-11-03,HSP-0037,Hospital,PH10131,35
500048,2025-11-03,HSP-0037,Hospital,PH10446,94
500048,2025-11-03,HSP-0037,Hospital,PH10239,88
500048,2025-11-03,HSP-0037,Hospital,PH10355,32
500048,2025-11-03,HSP-0037,Hospital,PH10236,51
500048,2025-11-03,HSP-0037,Hospital,PH10256,49
500049,2025-11-03,HSP-0038,Hospital,PH10351,56
500049,2025-11-03,HSP-0038,Hospital,PH10172,75
500049,2025-11-03,HSP-0038,Hospital,PH10503,47
500049,2025-11-03,HSP-0038,Hospital,PH10427,89
500049,2025-11-03,HSP-0038,Hospital,SG20034,46
500050,2025-11-03,PHM-0003,Pharmacy,PH10338,11
500050,2025-11-03,PHM-0003,Pharmacy,PH10204,12
500050,2025-11-03,PHM-0003,Pharmacy,PH10066,3
500051,2025-11-03,PHM-0004,Pharmacy,PH10380,3
500051,2025-11-03,PHM-0004,Pharmacy,PH10043,7
500051,2025-11-03,PHM-0004,Pharmacy,PH10313,10
500051,2025-11-03,PHM-0004,Pharmacy,PH10049,3
500052,2025-11-03,PHM-0005,Pharmacy,PH10148,12
500052,2025-11-03,PHM-0005,Pharmacy,SG20021,12
500053,2025-11-03,PHM-0006,Pharmacy,PH10462,6
500054,2025-11-03,PHM-0007,Pharmacy,PH10264,2
500054,2025-11-03,PHM-0007,Pharmacy,PH10191,11
500055,2025-11-03,PHM-0008,Pharmacy,PH10196,2
500055,2025-11-03,PHM-0008,Pharmacy,PH10339,11
500056,2025-11-03,PHM-0009,Pharmacy,SG20041,6
500056,2025-11-03,PHM-0009,Pharmacy,PH10209,7
500056,2025-11-03,PHM-0009,Pharmacy,PH10166,4
500057,2025-11-03,PHM-0011,Pharmacy,PH10121,8
500057,2025-11-03,PHM-0011,Pharmacy,PH10009,11
500057,2025-11-03,PHM-0011,Pharmacy,PH10099,4
500058,2025-11-03,PHM-0012,Pharmacy,PH10311,10
500059,2025-11-03,PHM-0014,Pharmacy,PH10420,11
500060,2025-11-03,PHM-0017,Pharmacy,PH10236,5
500060,2025-11-03,PHM-0017,Pharmacy,PH10209,4
500061,2025-11-03,PHM-0018,Pharmacy,PH10052,12
500061,2025-11-03,PHM-0018,Pharmacy,PH10475,5
500061,2025-11-03,PHM-0018,Pharmacy,PH10204,7
500061,2025-11-03,PHM-0018,Pharmacy,PH10524,11
500062,2025-11-03,PHM-0019,Pharmacy,PH10338,12
500063,2025-11-03,PHM-0020,Pharmacy,PH10049,2
500064,2025-11-03,PHM-0021,Pharmacy,PH10155,9
500064,2025-11-03,PHM-0021,Pharmacy,PH10361,6
500065,2025-11-03,PHM-0022,Pharmacy,SG20017,9
500065,2025-11-03,PHM-0022,Pharmacy,PH10193,7
500065,2025-11-03,PHM-0022,Pharmacy,PH10119,10
500065,2025-11-03,PHM-0022,Pharmacy,SG20067,12
500066,2025-11-03,PHM-0023,Pharmacy,SG20039,2
500067,2025-11-03,PHM-0024,Pharmacy,PH10162,8
500067,2025-11-03,PHM-0024,Pharmacy,PH10138,6
500068,2025-11-03,PHM-0025,Pharmacy,PH10172,4
500068,2025-11-03,PHM-0025,Pharmacy,PH10057,6
500068,2025-11-03,PHM-0025,Pharmacy,PH10529,3
500069,2025-11-03,PHM-0027,Pharmacy,PH10164,3
500070,2025-11-03,PHM-0028,Pharmacy,SG20015,5
500071,2025-11-03,PHM-0029,Pharmacy,PH10370,12
500072,2025-11-03,PHM-0030,Pharmacy,SG20034,7
500073,2025-11-03,PHM-0031,Pharmacy,PH10041,5
500074,2025-11-03,PHM-0032,Pharmacy,PH10167,10
500074,2025-11-03,PHM-0032,Pharmacy,PH10093,2
500074,2025-11-03,PHM-0032,Pharmacy,PH10462,12
500075,2025-11-03,PHM-0033,Pharmacy,PH10166,9
500075,2025-11-03,PHM-0033,Pharmacy,PH10169,3
500075,2025-11-03,PHM-0033,Pharmacy,PH10049,10
500076,2025-11-03,PHM-0034,Pharmacy,PH10166,10
500077,2025-11-03,PHM-0035,Pharmacy,PH10119,12
500077,2025-11-03,PHM-0035,Pharmacy,PH10058,12
500077,2025-11-03,PHM-0035,Pharmacy,PH10237,6
500078,2025-11-03,PHM-0036,Pharmacy,PH10107,2
500079,2025-11-03,PHM-0037,Pharmacy,PH10022,2
500080,2025-11-03,PHM-0038,Pharmacy,PH10200,4
500081,2025-11-03,PHM-0039,Pharmacy,PH10020,2
500081,2025-11-03,PHM-0039,Pharmacy,PH10256,6
500081,2025-11-03,PHM-0039,Pharmacy,PH10375,9
500082,2025-11-03,PHM-0042,Pharmacy,PH10150,4
500082,2025-11-03,PHM-0042,Pharmacy,PH10067,6
500083,2025-11-03,PHM-0043,Pharmacy,PH10420,5
500083,2025-11-03,PHM-0043,Pharmacy,PH10209,9
500084,2025-11-03,PHM-0044,Pharmacy,PH10010,4
500085,2025-11-03,PHM-0046,Pharmacy,PH10403,12
500085,2025-11-03,PHM-0046,Pharmacy,PH10085,10
500086,2025-11-03,PHM-0047,Pharmacy,PH10181,4
500087,2025-11-03,PHM-0048,Pharmacy,PH10381,11
500087,2025-11-03,PHM-0048,Pharmacy,PH10270,8
500087,2025-11-03,PHM-0048,Pharmacy,PH10375,2
500087,2025-11-03,PHM-0048,Pharmacy,SG20010,4
500087,2025-11-03,PHM-0048,Pharmacy,PH10502,5
500088,2025-11-03,PHM-0049,Pharmacy,PH10065,3
500088,2025-11-03,PHM-0049,Pharmacy,PH10426,8
500089,2025-11-03,PHM-0050,Pharmacy,PH10427,2
500089,2025-11-03,PHM-0050,Pharmacy,PH10253,4
500089,2025-11-03,PHM-0050,Pharmacy,PH10171,9
500090,2025-11-03,PHM-0051,Pharmacy,PH10307,8
500090,2025-11-03,PHM-0051,Pharmacy,PH10157,9
500091,2025-11-03,PHM-0052,Pharmacy,PH10183,11
500091,2025-11-03,PHM-0052,Pharmacy,PH10020,8
500092,2025-11-03,PHM-0053,Pharmacy,PH10510,5
500092,2025-11-03,PHM-0053,Pharmacy,PH10196,12
500093,2025-11-03,PHM-0054,Pharmacy,PH10353,6
500093,2025-11-03,PHM-0054,Pharmacy,PH10049,12
500093,2025-11-03,PHM-0054,Pharmacy,PH10200,10
500094,2025-11-03,PHM-0056,Pharmacy,PH10343,9
500094,2025-11-03,PHM-0056,Pharmacy,SG20055,9
500094,2025-11-03,PHM-0056,Pharmacy,PH10308,6
500095,2025-11-03,PHM-0057,Pharmacy,SG20016,6
500096,2025-11-03,PHM-0058,Pharmacy,PH10364,7
500097,2025-11-03,PHM-0060,Pharmacy,PH10257,10
500097,2025-11-03,PHM-0060,Pharmacy,PH10075,5
500097,2025-11-03,PHM-0060,Pharmacy,PH10150,11
500098,2025-11-03,PHM-0061,Pharmacy,PH10101,2
500099,2025-11-03,PHM-0062,Pharmacy,PH10457,6
500100,2025-11-03,PHM-0065,Pharmacy,SG20043,3
500101,2025-11-03,PHM-0066,Pharmacy,PH10150,3
500101,2025-11-03,PHM-0066,Pharmacy,PH10297,5
500102,2025-11-03,PHM-0068,Pharmacy,PH10155,10
500103,2025-11-03,PHM-0069,Pharmacy,PH10043,3
500104,2025-11-03,PHM-0070,Pharmacy,PH10255,6
500105,2025-11-03,PHM-0071,Pharmacy,SG20026,6
500105,2025-11-03,PHM-0071,Pharmacy,PH10311,7
500106,2025-11-03,PHM-0072,Pharmacy,PH10249,9
500106,2025-11-03,PHM-0072,Pharmacy,PH10426,7
500107,2025-11-03,PHM-0073,Pharmacy,SG20021,7
500107,2025-11-03,PHM-0073,Pharmacy,PH10009,9
500108,2025-11-03,PHM-0076,Pharmacy,PH10283,4
500109,2025-11-03,PHM-0078,Pharmacy,PH10157,4
500110,2025-11-03,PHM-0079,Pharmacy,PH10093,9
500110,2025-11-03,PHM-0079,Pharmacy,PH10396,9
500111,2025-11-03,PHM-0080,Pharmacy,PH10236,2
500111,2025-11-03,PHM-0080,Pharmacy,PH10270,5
500111,2025-11-03,PHM-0080,Pharmacy,PH10022,11
500111,2025-11-03,PHM-0080,Pharmacy,PH10100,12
500112,2025-11-03,PHM-0081,Pharmacy,PH10050,8
500112,2025-11-03,PHM-0081,Pharmacy,PH10010,2
500113,2025-11-03,PHM-0084,Pharmacy,PH10159,6
500113,2025-11-03,PHM-0084,Pharmacy,PH10020,12
500114,2025-11-03,PHM-0085,Pharmacy,PH10167,12
500115,2025-11-03,PHM-0086,Pharmacy,PH10112,8
500116,2025-11-03,PHM-0087,Pharmacy,PH10462,7
500117,2025-11-03,PHM-0088,Pharmacy,PH10235,6
500117,2025-11-03,PHM-0088,Pharmacy,PH10489,2
500118,2025-11-03,PHM-0089,Pharmacy,PH10024,4
500118,2025-11-03,PHM-0089,Pharmacy,PH10167,3
500118,2025-11-03,PHM-0089,Pharmacy,PH10255,10
500118,2025-11-03,PHM-0089,Pharmacy,PH10529,2
500118,2025-11-03,PHM-0089,Pharmacy,PH10197,3
500118,2025-11-03,PHM-0089,Pharmacy,SG20020,8
500119,2025-11-03,PHM-0091,Pharmacy,PH10335,3
500119,2025-11-03,PHM-0091,Pharmacy,PH10049,10
500119,2025-11-03,PHM-0091,Pharmacy,PH10179,3
500120,2025-11-03,PHM-0092,Pharmacy,PH10196,3
500121,2025-11-03,PHM-0094,Pharmacy,PH10196,10
500121,2025-11-03,PHM-0094,Pharmacy,PH10257,11
500122,2025-11-03,PHM-0095,Pharmacy,PH10435,7
500123,2025-11-03,PHM-0096,Pharmacy,SG20014,5
500124,2025-11-03,PHM-0098,Pharmacy,PH10426,4
500124,2025-11-03,PHM-0098,Pharmacy,PH10172,10
500125,2025-11-03,PHM-0099,Pharmacy,PH10084,4
500125,2025-11-03,PHM-0099,Pharmacy,PH10257,7
500126,2025-11-03,PHM-0100,Pharmacy,SG20043,5
500127,2025-11-03,PHM-0101,Pharmacy,PH10236,12
500128,2025-11-03,PHM-0102,Pharmacy,PH10270,2
500128,2025-11-03,PHM-0102,Pharmacy,PH10230,8
500128,2025-11-03,PHM-0102,Pharmacy,SG20016,9
500128,2025-11-03,PHM-0102,Pharmacy,SG20031,11
500128,2025-11-03,PHM-0102,Pharmacy,PH10120,4
500129,2025-11-03,PHM-0104,Pharmacy,PH10053,7
500129,2025-11-03,PHM-0104,Pharmacy,PH10426,3
500129,2025-11-03,PHM-0104,Pharmacy,PH10307,8
500130,2025-11-03,PHM-0105,Pharmacy,PH10197,11
500130,2025-11-03,PHM-0105,Pharmacy,PH10424,10
500131,2025-11-03,PHM-0106,Pharmacy,PH10162,2
500132,2025-11-03,PHM-0107,Pharmacy,PH10372,12
500133,2025-11-03,PHM-0108,Pharmacy,PH10164,11
500134,2025-11-03,PHM-0109,Pharmacy,PH10200,2
500134,2025-11-03,PHM-0109,Pharmacy,PH10338,8
500135,2025-11-03,PHM-0110,Pharmacy,PH10246,6
500135,2025-11-03,PHM-0110,Pharmacy,PH10045,11
500135,2025-11-03,PHM-0110,Pharmacy,PH10119,3
500136,2025-11-03,PHM-0111,Pharmacy,PH10248,4
500137,2025-11-03,PHM-0112,Pharmacy,SG20021,6
500137,2025-11-03,PHM-0112,Pharmacy,PH10217,11
500137,2025-11-03,PHM-0112,Pharmacy,SG20041,7
500137,2025-11-03,PHM-0112,Pharmacy,PH10462,8
500138,2025-11-03,PHM-0113,Pharmacy,PH10035,7
500138,2025-11-03,PHM-0113,Pharmacy,PH10155,12
500138,2025-11-03,PHM-0113,Pharmacy,PH10093,4
500139,2025-11-03,PHM-0114,Pharmacy,PH10465,4
500139,2025-11-03,PHM-0114,Pharmacy,PH10447,11
500140,2025-11-03,PHM-0115,Pharmacy,PH10057,8
500140,2025-11-03,PHM-0115,Pharmacy,PH10206,3
500140,2025-11-03,PHM-0115,Pharmacy,PH10202,5
500140,2025-11-03,PHM-0115,Pharmacy,PH10035,9
500141,2025-11-03,PHM-0116,Pharmacy,PH10311,7
500141,2025-11-03,PHM-0116,Pharmacy,PH10427,5
500142,2025-11-03,PHM-0117,Pharmacy,PH10197,7
500143,2025-11-03,PHM-0118,Pharmacy,PH10350,4
500144,2025-11-03,PHM-0119,Pharmacy,PH10137,8
500145,2025-11-03,PHM-0121,Pharmacy,PH10101,4
500145,2025-11-03,PHM-0121,Pharmacy,PH10095,3
500145,2025-11-03,PHM-0121,Pharmacy,PH10479,6
500145,2025-11-03,PHM-0121,Pharmacy,PH10183,4
500146,2025-11-03,PHM-0122,Pharmacy,PH10052,5
500146,2025-11-03,PHM-0122,Pharmacy,PH10217,7
500146,2025-11-03,PHM-0122,Pharmacy,SG20041,6
500147,2025-11-03,PHM-0123,Pharmacy,SG20011,5
500147,2025-11-03,PHM-0123,Pharmacy,PH10365,8
500148,2025-11-03,PHM-0124,Pharmacy,PH10257,4
500149,2025-11-03,PHM-0125,Pharmacy,PH10193,3
500150,2025-11-03,PHM-0127,Pharmacy,PH10075,11
500150,2025-11-03,PHM-0127,Pharmacy,PH10166,5
500150,2025-11-03,PHM-0127,Pharmacy,PH10183,8
500151,2025-11-03,PHM-0128,Pharmacy,SG20060,10
500152,2025-11-03,PHM-0129,Pharmacy,PH10004,8
500153,2025-11-03,PHM-0130,Pharmacy,PH10075,2
500153,2025-11-03,PHM-0130,Pharmacy,PH10311,8
500154,2025-11-03,PHM-0132,Pharmacy,PH10356,2
500155,2025-11-03,PHM-0133,Pharmacy,SG20034,5
