sku,batch,expiry_date,stock_type,qty_units,snapshot_date
PH10077,07725261,2027-08-26,Saleable,468,2026-02-28
PH10077,07726276,2027-03-29,Saleable,1,2026-02-28
PH10077,07781337,2026-06-14,Saleable,760,2026-02-28
PH10078,07860667,2027-07-19,Saleable,33,2026-02-28
PH10078,07871693,2026-07-12,Saleable,7,2026-02-28
PH10079,07977535,2028-10-24,Saleable,1521,2026-02-28
PH10079,07948114,2027-04-23,Saleable,1488,2026-02-28
PH10079,07935826,2027-05-24,Saleable,2844,2026-02-28
PH10079,07980011,2027-10-08,Damaged,175,2026-02-28
PH10080,08051048,2028-07-03,Saleable,638,2026-02-28
PH10080,08094710,2028-03-20,Saleable,2087,2026-02-28
PH10081,08172496,2026-12-07,Saleable,132,2026-02-28
PH10082,08219284,2026-12-03,Saleable,298,2026-02-28
PH10082,08279021,2026-10-27,Saleable,449,2026-02-28
PH10082,08296643,2028-08-17,Saleable,932,2026-02-28
PH10082,08214012,2025-12-27,Expired,134,2026-02-28
PH10083,08350011,2028-11-24,Saleable,1754,2026-02-28
PH10083,08365072,2027-11-16,Saleable,2250,2026-02-28
PH10084,08417776,2027-06-05,Saleable,45381,2026-02-28
PH10085,08514108,2027-09-13,Saleable,4545,2026-02-28
PH10085,08587100,2026-05-30,Saleable,6594,2026-02-28
PH10085,08587139,2027-10-11,Saleable,955,2026-02-28
PH10086,08679373,2027-03-21,Saleable,6005,2026-02-28
PH10086,08646343,2026-10-09,Saleable,2499,2026-02-28
PH10086,08686819,2029-01-07,Saleable,1223,2026-02-28
PH10087,08779506,2029-01-08,Saleable,2402,2026-02-28
PH10088,08884253,2026-10-01,Saleable,209,2026-02-28
PH10088,08850648,2026-09-05,Saleable,198,2026-02-28
PH10088,08825957,2027-02-09,Saleable,57,2026-02-28
PH10088,08882218,2027-09-08,Saleable,308,2026-02-28
PH10089,08979018,2026-11-03,Saleable,306,2026-02-28
PH10089,08979919,2027-11-14,Saleable,257,2026-02-28
PH10089,08961422,2026-08-17,Saleable,334,2026-02-28
PH10090,09041163,2028-12-04,Saleable,111,2026-02-28
PH10091,09155728,2027-10-05,Saleable,596,2026-02-28
PH10091,09197281,2027-09-17,Saleable,1014,2026-02-28
PH10091,09181986,2025-05-28,Expired,128,2026-02-28
PH10092,09221915,2026-09-24,Saleable,2155,2026-02-28
PH10093,09376750,2028-04-27,Saleable,30221,2026-02-28
PH10094,09450675,2028-04-07,Saleable,14179,2026-02-28
PH10095,09551780,2028-04-04,Saleable,49146,2026-02-28
PH10096,09676411,2027-03-12,Saleable,1638,2026-02-28
PH10097,09766220,2028-03-27,Saleable,35,2026-02-28
PH10097,09710558,2028-03-23,Saleable,1951,2026-02-28
PH10097,09764097,2025-08-26,Expired,158,2026-02-28
PH10098,09880397,2028-03-13,Saleable,1359,2026-02-28
PH10098,09877461,2027-01-11,Saleable,750,2026-02-28
PH10098,09848479,2026-06-17,Saleable,18,2026-02-28
PH10099,09921135,2028-03-28,Saleable,2600,2026-02-28
PH10100,10023628,2026-09-29,Saleable,4937,2026-02-28
PH10100,10060227,2026-07-22,Saleable,519,2026-02-28
PH10100,10039441,2028-09-08,Saleable,3010,2026-02-28
PH10101,10198474,2028-08-02,Saleable,10778,2026-02-28
PH10101,10199650,2028-12-16,Saleable,4735,2026-02-28
PH10101,10190637,2027-12-10,FOC,775,2026-02-28
PH10102,10267676,2028-03-19,Saleable,514,2026-02-28
PH10103,10384282,2027-03-24,Saleable,690,2026-02-28
PH10103,10329306,2026-10-26,Saleable,23,2026-02-28
PH10103,10323167,2026-10-31,Saleable,167,2026-02-28
PH10104,10445901,2027-09-06,Saleable,1545,2026-02-28
PH10104,10467821,2027-11-26,Saleable,1169,2026-02-28
PH10104,10449743,2028-08-28,Saleable,2454,2026-02-28
PH10105,10527723,2029-02-03,Saleable,23309,2026-02-28
PH10105,10544878,2027-11-01,Saleable,683,2026-02-28
PH10106,10653308,2027-08-22,Saleable,793,2026-02-28
PH10106,10646043,2028-09-08,Saleable,754,2026-02-28
PH10107,10760066,2027-12-19,Saleable,820,2026-02-28
PH10107,10733170,2026-10-31,Saleable,8916,2026-02-28
PH10108,10878079,2027-03-09,Saleable,1849,2026-02-28
PH10109,10995426,2028-07-22,Saleable,2289,2026-02-28
PH10110,11015081,2027-04-21,Saleable,2321,2026-02-28
PH10110,11072953,2027-02-22,Saleable,757,2026-02-28
PH10110,11051035,2025-07-09,Expired,246,2026-02-28
PH10111,11188838,2027-06-23,Saleable,2146,2026-02-28
PH10111,11180367,2026-06-11,Saleable,1986,2026-02-28
PH10112,11258155,2028-03-10,Saleable,1042,2026-02-28
PH10112,11217944,2028-06-16,Saleable,2382,2026-02-28
PH10112,11290246,2027-04-10,Saleable,13803,2026-02-28
PH10113,11395669,2026-10-13,Saleable,1666,2026-02-28
PH10114,11487309,2026-12-19,Saleable,4857,2026-02-28
PH10115,11533597,2027-05-03,Saleable,1271,2026-02-28
PH10116,11688944,2027-02-16,Saleable,312,2026-02-28
PH10117,11725385,2028-12-05,Saleable,1761,2026-02-28
PH10117,11754333,2028-03-20,Saleable,471,2026-02-28
PH10118,11848600,2026-12-30,Saleable,697,2026-02-28
PH10118,11820814,2028-02-16,FOC,34,2026-02-28
PH10119,11935750,2028-01-17,Saleable,54017,2026-02-28
PH10120,12052778,2026-07-28,Saleable,10014,2026-02-28
PH10120,12087865,2028-02-24,Saleable,2947,2026-02-28
PH10120,12037562,2025-04-12,Expired,1036,2026-02-28
PH10121,12190250,2028-03-16,Saleable,18210,2026-02-28
PH10121,12195279,2027-02-06,Sample,364,2026-02-28
PH10121,12153386,2025-06-17,Expired,1456,2026-02-28
PH10122,12284528,2026-08-24,Saleable,21788,2026-02-28
PH10123,12370862,2027-03-06,Saleable,26105,2026-02-28
PH10124,12455701,2027-04-10,Saleable,2299,2026-02-28
PH10124,12477256,2027-01-27,Saleable,1154,2026-02-28
PH10124,12454893,2028-08-09,Saleable,365,2026-02-28
PH10124,12446662,2029-01-06,Saleable,229,2026-02-28
PH10124,12418934,2027-02-23,Saleable,719,2026-02-28
PH10125,12596691,2027-11-15,Saleable,7467,2026-02-28
PH10125,12594649,2027-03-29,Saleable,122,2026-02-28
PH10125,12562515,2025-06-10,Expired,607,2026-02-28
PH10126,12620981,2026-07-28,Saleable,136,2026-02-28
PH10126,12676700,2027-03-28,Saleable,3,2026-02-28
PH10126,12684335,2026-10-06,Saleable,15,2026-02-28
PH10127,12751655,2029-01-27,Saleable,2439,2026-02-28
PH10128,12816897,2028-02-20,Saleable,104,2026-02-28
PH10128,12852486,2027-10-07,Saleable,49,2026-02-28
PH10128,12815451,2027-09-18,Saleable,21,2026-02-28
PH10128,12857781,2027-08-22,Saleable,364,2026-02-28
PH10129,12960173,2027-07-11,Saleable,1952,2026-02-28
PH10130,13083305,2027-10-22,Saleable,13882,2026-02-28
PH10131,13144411,2026-07-23,Saleable,1989,2026-02-28
PH10131,13133559,2028-08-08,Saleable,2914,2026-02-28
PH10132,13214782,2028-07-14,Saleable,2484,2026-02-28
PH10133,13321557,2028-01-16,Saleable,1041,2026-02-28
PH10133,13386100,2028-02-03,FOC,52,2026-02-28
PH10134,13495748,2028-03-22,Saleable,185,2026-02-28
PH10134,13467392,2027-12-10,Saleable,25,2026-02-28
PH10135,13590025,2027-01-16,Saleable,144,2026-02-28
PH10135,13586453,2029-01-15,Saleable,56,2026-02-28
PH10135,13510415,2027-04-10,Saleable,59,2026-02-28
PH10135,13587417,2026-11-21,Saleable,630,2026-02-28
PH10136,13662230,2027-05-03,Saleable,1971,2026-02-28
PH10136,13666908,2026-06-24,Sample,39,2026-02-28
PH10137,13734348,2027-02-06,Saleable,4163,2026-02-28
PH10138,13815862,2026-11-05,Saleable,11864,2026-02-28
PH10138,13888151,2026-07-08,Saleable,2015,2026-02-28
PH10138,13864817,2026-11-08,Saleable,6378,2026-02-28
PH10139,13959970,2027-10-20,Saleable,7436,2026-02-28
PH10139,13977732,2027-12-23,Saleable,2070,2026-02-28
PH10140,14029203,2029-01-30,Saleable,126,2026-02-28
PH10140,14016538,2026-07-18,Saleable,102,2026-02-28
PH10140,14050444,2027-08-06,Saleable,125,2026-02-28
PH10140,14079661,2026-10-27,Saleable,108,2026-02-28
PH10141,14151590,2027-07-23,Saleable,575,2026-02-28
PH10142,14264480,2027-11-29,Saleable,123,2026-02-28
PH10142,14215051,2026-07-01,FOC,6,2026-02-28
PH10143,14382894,2027-10-02,Saleable,20,2026-02-28
PH10144,14485991,2029-01-11,Saleable,18,2026-02-28
PH10144,14455905,2027-11-29,Saleable,261,2026-02-28
PH10144,14434681,2029-01-13,Saleable,160,2026-02-28
PH10144,14484684,2027-07-07,Damaged,13,2026-02-28
PH10145,14573537,2027-01-28,Saleable,3360,2026-02-28
PH10146,14696808,2028-05-27,Saleable,837,2026-02-28
PH10147,14712940,2027-08-07,Saleable,15938,2026-02-28
PH10148,14873394,2028-05-27,Saleable,19732,2026-02-28
PH10149,14984155,2026-11-08,Saleable,98,2026-02-28
PH10149,14922845,2027-01-05,Saleable,886,2026-02-28
PH10150,15035268,2028-03-23,Saleable,35341,2026-02-28
PH10150,15069869,2027-01-25,Saleable,8637,2026-02-28
PH10151,15150985,2028-02-13,Saleable,480,2026-02-28
PH10152,15290069,2028-12-23,Saleable,433,2026-02-28
PH10152,15253834,2026-07-15,Saleable,4951,2026-02-28
PH10153,15355396,2028-06-09,Saleable,16027,2026-02-28
PH10153,15391269,2028-10-26,Saleable,9935,2026-02-28
PH10154,15414894,2027-07-03,Saleable,227,2026-02-28
PH10154,15472941,2026-07-28,Saleable,220,2026-02-28
PH10154,15475767,2028-06-16,Saleable,14,2026-02-28
PH10155,15582007,2026-12-19,Saleable,1507,2026-02-28
PH10155,15541942,2028-08-10,Saleable,2176,2026-02-28
PH10155,15537403,2028-05-17,Saleable,577,2026-02-28
PH10155,15542956,2028-04-23,Saleable,2053,2026-02-28
PH10156,15666710,2027-10-09,Saleable,873,2026-02-28
PH10156,15698105,2028-02-11,Saleable,49,2026-02-28
PH10156,15636167,2028-08-13,Saleable,983,2026-02-28
PH10157,15765570,2026-09-15,Saleable,1715,2026-02-28
PH10157,15737443,2027-07-08,Saleable,4634,2026-02-28
PH10157,15766656,2027-11-03,Saleable,2000,2026-02-28
PH10158,15813937,2028-06-14,Saleable,21769,2026-02-28
PH10159,15960747,2029-01-04,Saleable,4968,2026-02-28
PH10159,15947954,2026-12-20,Saleable,2426,2026-02-28
PH10159,15963018,2025-04-03,Expired,591,2026-02-28
PH10160,16043873,2026-12-07,Saleable,63,2026-02-28
PH10160,16064141,2027-05-07,Saleable,118,2026-02-28
PH10160,16092809,2027-09-02,Saleable,453,2026-02-28
PH10161,16150395,2028-06-23,Saleable,202,2026-02-28
PH10161,16173543,2027-01-30,Saleable,550,2026-02-28
PH10161,16153148,2027-02-11,Saleable,973,2026-02-28
PH10162,16220105,2026-07-18,Saleable,12723,2026-02-28
PH10162,16282883,2026-09-17,Saleable,38651,2026-02-28
PH10162,16224431,2028-07-03,Saleable,10015,2026-02-28
PH10163,16321108,2026-07-08,Saleable,69,2026-02-28
PH10163,16393498,2028-07-06,Saleable,1,2026-02-28
PH10164,16452892,2026-07-08,Saleable,2457,2026-02-28
PH10164,16480217,2028-07-01,Saleable,29498,2026-02-28
PH10165,16517953,2028-05-26,Saleable,17345,2026-02-28
PH10165,16580668,2027-04-14,Saleable,22279,2026-02-28
PH10165,16579413,2027-09-14,Sample,792,2026-02-28
PH10166,16619055,2027-09-16,Saleable,53613,2026-02-28
PH10166,16663346,2027-02-15,Saleable,15921,2026-02-28
PH10167,16745205,2029-02-11,Saleable,24811,2026-02-28
PH10168,16862512,2029-02-09,Saleable,73,2026-02-28
PH10168,16817131,2028-03-20,Saleable,495,2026-02-28
PH10168,16813431,2026-07-07,Saleable,55,2026-02-28
PH10169,16972770,2028-05-04,Saleable,2599,2026-02-28
PH10169,16975445,2028-11-03,Saleable,4370,2026-02-28
PH10170,17056776,2027-01-26,Saleable,1109,2026-02-28
PH10170,17075246,2027-04-06,Saleable,465,2026-02-28
PH10171,17168213,2028-09-19,Saleable,1330,2026-02-28
PH10171,17111309,2028-05-29,Saleable,6150,2026-02-28
PH10171,17176912,2026-01-31,Expired,598,2026-02-28
PH10172,17275315,2028-03-23,Saleable,8832,2026-02-28
PH10172,17257633,2029-01-21,Saleable,60423,2026-02-28
PH10172,17210842,2028-07-06,Saleable,19486,2026-02-28
PH10173,17398072,2027-01-21,Saleable,5987,2026-02-28
PH10174,17476414,2027-06-28,Saleable,1825,2026-02-28
PH10174,17415070,2027-01-13,Saleable,1901,2026-02-28
PH10174,17414118,2027-07-22,Saleable,2710,2026-02-28
PH10175,17551409,2026-07-22,Saleable,1548,2026-02-28
PH10175,17537075,2027-06-19,FOC,77,2026-02-28
PH10176,17625933,2026-06-22,Saleable,7014,2026-02-28
PH10177,17777061,2027-07-17,Saleable,1979,2026-02-28
PH10178,17867777,2027-08-09,Saleable,941,2026-02-28
PH10178,17830607,2028-12-09,Saleable,4667,2026-02-28
PH10179,17937871,2026-07-26,Saleable,646,2026-02-28
PH10179,17922945,2026-11-25,Saleable,685,2026-02-28
PH10179,17917030,2029-02-04,Saleable,317,2026-02-28
PH10180,18051836,2027-04-12,Saleable,43,2026-02-28
PH10180,18014003,2028-09-13,Saleable,35,2026-02-28
PH10181,18172702,2028-03-16,Saleable,19223,2026-02-28
PH10181,18152761,2028-11-05,Saleable,432,2026-02-28
PH10182,18246133,2026-11-17,Saleable,1729,2026-02-28
PH10182,18275303,2027-07-23,Saleable,354,2026-02-28
PH10182,18296191,2027-09-07,FOC,104,2026-02-28
PH10183,18346638,2027-02-19,Saleable,10646,2026-02-28
PH10183,18344616,2027-08-07,Saleable,17730,2026-02-28
PH10183,18357504,2025-04-26,Expired,2270,2026-02-28
PH10184,18445482,2027-06-27,Saleable,716,2026-02-28
PH10185,18563813,2027-06-17,Saleable,17610,2026-02-28
PH10185,18561314,2027-04-30,FOC,880,2026-02-28
PH10186,18698658,2028-03-28,Saleable,577,2026-02-28
PH10187,18772915,2026-11-29,Saleable,1066,2026-02-28
PH10187,18798744,2028-08-25,Saleable,268,2026-02-28
PH10188,18890945,2028-07-02,Saleable,5416,2026-02-28
PH10189,18947207,2026-12-26,Saleable,184,2026-02-28
PH10189,18959194,2027-03-18,Saleable,100,2026-02-28
PH10190,19050368,2026-07-07,Saleable,958,2026-02-28
PH10190,19053295,2028-05-16,Saleable,1576,2026-02-28
PH10190,19051859,2027-04-06,Saleable,1119,2026-02-28
PH10191,19167514,2029-02-04,Saleable,51370,2026-02-28
PH10192,19241628,2027-02-28,Saleable,324,2026-02-28
PH10192,19226846,2026-12-05,Saleable,218,2026-02-28
PH10192,19252039,2027-04-06,Saleable,360,2026-02-28
PH10193,19338406,2028-05-21,Saleable,81597,2026-02-28
PH10194,19438461,2026-08-21,Saleable,9432,2026-02-28
PH10194,19429778,2028-04-18,Saleable,369,2026-02-28
PH10195,19565816,2026-10-29,Saleable,358,2026-02-28
PH10195,19528436,2026-09-20,Saleable,421,2026-02-28
PH10195,19592089,2027-04-05,FOC,39,2026-02-28
PH10196,19643212,2028-01-28,Saleable,70486,2026-02-28
PH10197,19753593,2028-02-16,Saleable,38535,2026-02-28
PH10198,19888194,2028-12-17,Saleable,228,2026-02-28
PH10198,19897271,2027-04-26,Saleable,253,2026-02-28
PH10199,19911153,2026-08-19,Saleable,216,2026-02-28
PH10199,19955635,2028-11-20,Saleable,1982,2026-02-28
PH10199,19954129,2027-12-17,Saleable,457,2026-02-28
PH10200,20050918,2028-10-23,Saleable,47626,2026-02-28
PH10200,20068625,2027-04-18,FOC,2381,2026-02-28
PH10201,20169668,2028-05-16,Saleable,2315,2026-02-28
PH10202,20216711,2027-07-27,Saleable,461,2026-02-28
PH10202,20216078,2028-10-22,Saleable,690,2026-02-28
PH10202,20277492,2027-04-24,Saleable,555,2026-02-28
PH10203,20311944,2026-12-25,Saleable,670,2026-02-28
PH10203,20363868,2026-10-04,Saleable,83,2026-02-28
PH10204,20429455,2028-08-26,Saleable,3862,2026-02-28
PH10205,20544747,2027-05-24,Saleable,27564,2026-02-28
PH10205,20537642,2028-04-22,Saleable,6073,2026-02-28
PH10206,20645039,2028-02-07,Saleable,8255,2026-02-28
PH10206,20659304,2028-11-24,Saleable,4410,2026-02-28
PH10206,20677135,2027-11-25,Saleable,11549,2026-02-28
PH10207,20747166,2026-11-29,Saleable,79,2026-02-28
PH10207,20735728,2028-07-19,Saleable,82,2026-02-28
PH10208,20886649,2026-08-11,Saleable,6046,2026-02-28
PH10208,20882340,2026-07-31,Saleable,2673,2026-02-28
PH10208,20898727,2027-02-13,FOC,436,2026-02-28
PH10208,20826160,2025-09-28,Expired,697,2026-02-28
PH10209,20923804,2028-08-10,Saleable,57368,2026-02-28
PH10209,20935676,2025-05-21,Expired,4589,2026-02-28
PH10210,21032649,2027-05-12,Saleable,1346,2026-02-28
PH10210,21082644,2026-12-18,Saleable,1086,2026-02-28
PH10210,21069460,2027-02-26,Damaged,72,2026-02-28
PH10211,21186881,2027-12-22,Saleable,217,2026-02-28
PH10211,21199643,2026-04-22,Damaged,6,2026-02-28
PH10212,21273048,2028-09-19,Saleable,7440,2026-02-28
PH10212,21289569,2028-01-24,Saleable,19958,2026-02-28
PH10212,21222072,2026-11-01,Saleable,1365,2026-02-28
PH10213,21373103,2028-09-05,Saleable,3534,2026-02-28
PH10214,21444231,2028-10-09,Saleable,253,2026-02-28
PH10214,21472725,2028-02-18,Saleable,333,2026-02-28
PH10214,21497693,2025-12-02,Expired,46,2026-02-28
PH10215,21523944,2028-11-26,Saleable,14606,2026-02-28
PH10215,21556878,2025-05-01,Expired,1168,2026-02-28
PH10216,21661958,2027-05-21,Saleable,912,2026-02-28
PH10216,21675429,2027-10-14,Saleable,154,2026-02-28
PH10216,21652279,2027-07-11,Saleable,143,2026-02-28
PH10217,21721642,2026-10-15,Saleable,12837,2026-02-28
PH10217,21737800,2028-10-10,Saleable,6707,2026-02-28
PH10217,21747826,2028-02-28,Saleable,18391,2026-02-28
PH10218,21880234,2027-11-04,Saleable,6745,2026-02-28
