sku,batch,expiry_date,stock_type,qty_units,snapshot_date,description,principal,category,product_group,storage_condition,units_per_case,case_length_cm,case_width_cm,case_height_cm,case_cbm,case_weight_kg,unit_cost_nzd,ti,hi,cases_per_pallet,pallet_height_cm,pallet_weight_kg,pallet_cbm,cases,cbm,pallets,value_nzd,positions_naive,zone,positions,shelf_bins,months_to_expiry
PH10007,771337,2028-04-08,Saleable,4768,2026-02-28,Carvedilol 25mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60.0,39.6,36.3,22.8,0.03277,5.82,21.36,5.0,4.0,20.0,106.2,141.4,0.6554,79.46666666666667,2.6041226666666666,3.9733333333333336,101844.48,4.0,Pallet racking,4.0,0,25.328947368421055
PH10008,866658,2027-10-20,Saleable,484,2026-02-28,Carvedilol 6.25mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180.0,45.4,42.7,32.1,0.06223,10.24,3.96,4.0,4.0,16.0,143.4,188.84,0.99568,2.688888888888889,0.16732955555555556,0.16805555555555557,1916.6399999999999,1.0,Shelving,0.0,1,19.703947368421055
PH10008,827176,2026-09-06,Saleable,55,2026-02-28,Carvedilol 6.25mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,180.0,45.4,42.7,32.1,0.06223,10.24,3.96,4.0,4.0,16.0,143.4,188.84,0.99568,0.3055555555555556,0.019014722222222225,0.019097222222222224,217.8,1.0,Shelving,0.0,1,6.25
PH10009,960839,2026-08-06,Saleable,13354,2026-02-28,Rosuvastatin 20mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,120.0,55.2,41.5,22.7,0.052,13.63,9.25,3.0,5.0,15.0,128.5,229.45,0.7799999999999999,111.28333333333333,5.786733333333333,7.418888888888889,123524.5,8.0,Pallet racking,8.0,0,5.230263157894737
PH10010,1020797,2026-07-29,Saleable,13371,2026-02-28,Carvedilol 25mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,44.2,42.9,31.3,0.05935,14.98,18.36,2.0,4.0,8.0,140.2,144.84,0.4748,133.71,7.9356885,16.71375,245491.56,17.0,Pallet racking,17.0,0,4.967105263157895
PH10010,1098788,2027-05-14,FOC,668,2026-02-28,Carvedilol 25mg Tablets 100s,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,44.2,42.9,31.3,0.05935,14.98,18.36,2.0,4.0,8.0,140.2,144.84,0.4748,6.68,0.396458,0.835,12264.48,1.0,Pallet racking,1.0,0,14.473684210526317
PH10011,1180325,2026-10-10,Saleable,1209,2026-02-28,Loratadine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,100.0,42.1,41.5,24.3,0.04246,12.1,22.89,4.0,5.0,20.0,136.5,267.0,0.8492,12.09,0.5133414,0.6045,27674.010000000002,1.0,Pallet racking,1.0,0,7.36842105263158
PH10011,1156073,2028-02-27,Saleable,561,2026-02-28,Loratadine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,100.0,42.1,41.5,24.3,0.04246,12.1,22.89,4.0,5.0,20.0,136.5,267.0,0.8492,5.61,0.2382006,0.2805,12841.29,1.0,Shelving,0.0,1,23.980263157894736
PH10011,1173545,2028-06-20,Saleable,1183,2026-02-28,Loratadine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,100.0,42.1,41.5,24.3,0.04246,12.1,22.89,4.0,5.0,20.0,136.5,267.0,0.8492,11.83,0.5023018,0.5915,27078.87,1.0,Pallet racking,1.0,0,27.73026315789474
PH10012,1240331,2028-11-11,Saleable,1939,2026-02-28,Levothyroxine 100mcg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120.0,34.4,38.0,29.8,0.03895,6.78,20.01,6.0,4.0,24.0,134.2,187.72,0.9348,16.158333333333335,0.6293670833333334,0.673263888888889,38799.39,1.0,Pallet racking,1.0,0,32.4671052631579
PH10012,1243722,2026-07-03,Saleable,3524,2026-02-28,Levothyroxine 100mcg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120.0,34.4,38.0,29.8,0.03895,6.78,20.01,6.0,4.0,24.0,134.2,187.72,0.9348,29.366666666666667,1.1438316666666666,1.2236111111111112,70515.24,2.0,Pallet racking,2.0,0,4.111842105263158
PH10012,1289185,2027-03-05,Saleable,935,2026-02-28,Levothyroxine 100mcg Tablets 2x14,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120.0,34.4,38.0,29.8,0.03895,6.78,20.01,6.0,4.0,24.0,134.2,187.72,0.9348,7.791666666666667,0.3034854166666667,0.3246527777777778,18709.350000000002,1.0,Pallet racking,1.0,0,12.171052631578949
PH10013,1312874,2026-12-31,Saleable,133,2026-02-28,Rosuvastatin 10mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,34.5,39.6,16.5,0.02254,5.61,8.74,6.0,6.0,36.0,114.0,226.96,0.81144,1.33,0.029978200000000003,0.036944444444444446,1162.42,1.0,Shelving,0.0,1,10.06578947368421
PH10013,1339782,2026-11-16,Saleable,194,2026-02-28,Rosuvastatin 10mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,34.5,39.6,16.5,0.02254,5.61,8.74,6.0,6.0,36.0,114.0,226.96,0.81144,1.94,0.0437276,0.05388888888888889,1695.56,1.0,Shelving,0.0,1,8.585526315789474
PH10013,1314757,2026-05-29,Saleable,113,2026-02-28,Rosuvastatin 10mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,34.5,39.6,16.5,0.02254,5.61,8.74,6.0,6.0,36.0,114.0,226.96,0.81144,1.13,0.0254702,0.03138888888888888,987.62,1.0,Shelving,0.0,1,2.960526315789474
PH10013,1397932,2027-11-06,Saleable,462,2026-02-28,Rosuvastatin 10mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,34.5,39.6,16.5,0.02254,5.61,8.74,6.0,6.0,36.0,114.0,226.96,0.81144,4.62,0.10413480000000001,0.12833333333333333,4037.88,1.0,Shelving,0.0,1,20.263157894736842
PH10013,1374421,2028-09-06,Saleable,14,2026-02-28,Rosuvastatin 10mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,34.5,39.6,16.5,0.02254,5.61,8.74,6.0,6.0,36.0,114.0,226.96,0.81144,0.14,0.0031556000000000006,0.003888888888888889,122.36,1.0,Shelving,0.0,1,30.29605263157895
PH10013,1345760,2025-08-26,Expired,73,2026-02-28,Rosuvastatin 10mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,34.5,39.6,16.5,0.02254,5.61,8.74,6.0,6.0,36.0,114.0,226.96,0.81144,0.73,0.0164542,0.020277777777777777,638.02,1.0,Quarantine,0.0,0,-6.11842105263158
PH10014,1494518,2026-11-14,Saleable,300,2026-02-28,Pantoprazole 20mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,100.0,44.0,30.7,25.3,0.03418,9.14,23.67,6.0,2.0,12.0,65.6,134.68,0.41016,3.0,0.10254,0.25,7101.000000000001,1.0,Shelving,0.0,1,8.519736842105264
PH10015,1599636,2028-07-12,Saleable,4172,2026-02-28,Atorvastatin 40mg Tablets 3x10,Dunmore Therapeutics,Pharma,Tablets,Below 25C,180.0,41.4,42.5,16.9,0.02974,6.13,4.15,4.0,7.0,28.0,133.29999999999998,196.64,0.83272,23.177777777777777,0.6893071111111111,0.8277777777777777,17313.800000000003,1.0,Pallet racking,1.0,0,28.453947368421055
PH10016,1629872,2027-09-23,Saleable,820,2026-02-28,Prednisolone 25mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,100.0,55.1,34.7,34.2,0.06539,12.13,17.11,4.0,3.0,12.0,117.6,170.56,0.78468,8.2,0.536198,0.6833333333333332,14030.199999999999,1.0,Pallet racking,1.0,0,18.815789473684212
PH10016,1640014,2028-04-18,Saleable,189,2026-02-28,Prednisolone 25mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,100.0,55.1,34.7,34.2,0.06539,12.13,17.11,4.0,3.0,12.0,117.6,170.56,0.78468,1.89,0.1235871,0.1575,3233.79,1.0,Shelving,0.0,1,25.657894736842106
PH10017,1749501,2028-01-24,Saleable,4045,2026-02-28,Furosemide 40mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,100.0,30.9,35.5,24.5,0.02688,5.26,7.72,9.0,6.0,54.0,162.0,309.04,1.45152,40.45,1.087296,0.7490740740740741,31227.399999999998,1.0,Pallet racking,1.0,0,22.861842105263158
PH10018,1852576,2027-08-01,Saleable,5104,2026-02-28,Simvastatin 20mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100.0,57.9,37.0,18.1,0.03878,8.03,16.69,3.0,7.0,21.0,141.70000000000002,193.63,0.81438,51.04,1.9793312,2.4304761904761905,85185.76000000001,3.0,Pallet racking,3.0,0,17.072368421052634
PH10018,1885324,2027-09-17,Saleable,11249,2026-02-28,Simvastatin 20mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100.0,57.9,37.0,18.1,0.03878,8.03,16.69,3.0,7.0,21.0,141.70000000000002,193.63,0.81438,112.49,4.3623622,5.3566666666666665,187745.81000000003,6.0,Pallet racking,6.0,0,18.61842105263158
PH10019,1933128,2028-04-23,Saleable,3726,2026-02-28,Ibuprofen 400mg Tablets 30s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,120.0,50.5,30.7,31.6,0.04899,8.95,7.84,4.0,3.0,12.0,109.8,132.39999999999998,0.58788,31.05,1.5211395,2.5875,29211.84,3.0,Pallet racking,3.0,0,25.822368421052634
PH10020,2046426,2027-09-25,Saleable,31300,2026-02-28,Ciprofloxacin 500mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180.0,41.9,25.7,16.1,0.017336963,2.8,19.02,6.0,6.0,36.0,111.6,125.8,0.624130668,173.88888888888889,3.0147052327777777,4.830246913580247,595326.0,5.0,Pallet racking,5.0,0,18.88157894736842
PH10020,2025224,2025-04-07,Expired,2504,2026-02-28,Ciprofloxacin 500mg Tablets 3x10,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,180.0,41.9,25.7,16.1,0.017336963,2.8,19.02,6.0,6.0,36.0,111.6,125.8,0.624130668,13.911111111111111,0.24117641862222222,0.38641975308641974,47626.08,1.0,Quarantine,0.0,0,-10.756578947368421
PH10021,2157690,2028-03-07,Saleable,747,2026-02-28,Prednisolone 5mg Tablets 3x10,Venrick Laboratories,Pharma,Tablets,Below 25C,180.0,36.4,42.4,33.1,0.05109,7.86,19.51,6.0,3.0,18.0,114.3,166.48000000000002,0.91962,4.15,0.21202350000000003,0.23055555555555557,14573.970000000001,1.0,Shelving,0.0,1,24.276315789473685
PH10022,2294665,2028-05-05,Saleable,10094,2026-02-28,Escitalopram 20mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,240.0,46.9,26.6,26.4,0.03294,8.91,8.68,7.0,4.0,28.0,120.6,274.48,0.92232,42.05833333333333,1.3854014999999997,1.5020833333333332,87615.92,2.0,Pallet racking,2.0,0,26.217105263157897
PH10022,2294355,2028-08-29,Saleable,28287,2026-02-28,Escitalopram 20mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,240.0,46.9,26.6,26.4,0.03294,8.91,8.68,7.0,4.0,28.0,120.6,274.48,0.92232,117.8625,3.8823907499999994,4.209375,245531.16,5.0,Pallet racking,5.0,0,30.032894736842106
PH10022,2218228,2027-11-26,FOC,1919,2026-02-28,Escitalopram 20mg Tablets 3x10,Corvane Pharma,Pharma,Tablets,Below 25C,240.0,46.9,26.6,26.4,0.03294,8.91,8.68,7.0,4.0,28.0,120.6,274.48,0.92232,7.995833333333334,0.26338275,0.2855654761904762,16656.92,1.0,Pallet racking,1.0,0,20.92105263157895
PH10023,2377402,2028-03-12,Saleable,19124,2026-02-28,Gliclazide 80mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180.0,37.0,31.6,16.2,0.01894,4.55,3.72,9.0,8.0,72.0,144.6,352.6,1.36368,106.24444444444444,2.0122697777777776,1.4756172839506172,71141.28,2.0,Pallet racking,2.0,0,24.440789473684212
PH10023,2368230,2028-06-26,Saleable,17531,2026-02-28,Gliclazide 80mg Tablets 10x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180.0,37.0,31.6,16.2,0.01894,4.55,3.72,9.0,8.0,72.0,144.6,352.6,1.36368,97.39444444444445,1.8446507777777776,1.3527006172839506,65215.32000000001,2.0,Pallet racking,2.0,0,27.92763157894737
PH10024,2483821,2029-02-06,Saleable,1337,2026-02-28,Ciprofloxacin 500mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,60.0,32.5,43.6,17.5,0.0248,5.25,11.43,6.0,6.0,36.0,120.0,214.0,0.8927999999999999,22.283333333333335,0.5526266666666667,0.6189814814814816,15281.91,1.0,Pallet racking,1.0,0,35.328947368421055
PH10024,2410635,2026-10-29,Saleable,364,2026-02-28,Ciprofloxacin 500mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,60.0,32.5,43.6,17.5,0.0248,5.25,11.43,6.0,6.0,36.0,120.0,214.0,0.8927999999999999,6.066666666666666,0.15045333333333333,0.1685185185185185,4160.5199999999995,1.0,Shelving,0.0,1,7.99342105263158
PH10024,2430349,2028-06-07,Saleable,757,2026-02-28,Ciprofloxacin 500mg Tablets 2x14,Corvane Pharma,Pharma,Tablets,Below 25C,60.0,32.5,43.6,17.5,0.0248,5.25,11.43,6.0,6.0,36.0,120.0,214.0,0.8927999999999999,12.616666666666667,0.31289333333333336,0.350462962962963,8652.51,1.0,Pallet racking,1.0,0,27.30263157894737
PH10025,2546343,2028-05-31,Saleable,7196,2026-02-28,Diclofenac 50mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,51.0,34.4,31.2,0.05474,9.81,19.37,4.0,3.0,12.0,108.6,142.72,0.6568799999999999,71.96,3.9390903999999995,5.996666666666666,139386.52000000002,6.0,Pallet racking,6.0,0,27.072368421052634
PH10025,2597730,2028-05-26,Saleable,2727,2026-02-28,Diclofenac 50mg Tablets 10x10,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,51.0,34.4,31.2,0.05474,9.81,19.37,4.0,3.0,12.0,108.6,142.72,0.6568799999999999,27.27,1.4927598,2.2725,52821.990000000005,3.0,Pallet racking,3.0,0,26.907894736842106
PH10026,2672897,2026-07-15,Saleable,1942,2026-02-28,Cetirizine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240.0,36.6,37.2,27.0,0.03676,9.16,9.61,5.0,4.0,20.0,123.0,208.2,0.7352000000000001,8.091666666666667,0.29744966666666667,0.40458333333333335,18662.62,1.0,Pallet racking,1.0,0,4.506578947368421
PH10026,2661573,2027-04-08,Saleable,1177,2026-02-28,Cetirizine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240.0,36.6,37.2,27.0,0.03676,9.16,9.61,5.0,4.0,20.0,123.0,208.2,0.7352000000000001,4.904166666666667,0.18027716666666668,0.24520833333333333,11310.97,1.0,Shelving,0.0,1,13.289473684210527
PH10026,2685838,2028-06-22,Saleable,2420,2026-02-28,Cetirizine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240.0,36.6,37.2,27.0,0.03676,9.16,9.61,5.0,4.0,20.0,123.0,208.2,0.7352000000000001,10.083333333333334,0.37066333333333334,0.5041666666666667,23256.199999999997,1.0,Pallet racking,1.0,0,27.79605263157895
PH10026,2621191,2027-08-30,Sample,110,2026-02-28,Cetirizine 10mg Tablets 2x14,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240.0,36.6,37.2,27.0,0.03676,9.16,9.61,5.0,4.0,20.0,123.0,208.2,0.7352000000000001,0.4583333333333333,0.016848333333333333,0.022916666666666665,1057.1,1.0,Shelving,0.0,1,18.026315789473685
PH10027,2769882,2028-05-26,Saleable,558,2026-02-28,Simvastatin 20mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100.0,33.9,42.9,29.6,0.04305,11.9,15.11,6.0,3.0,18.0,103.8,239.2,0.7748999999999999,5.58,0.240219,0.31,8431.38,1.0,Shelving,0.0,1,26.907894736842106
PH10027,2781728,2026-12-07,FOC,27,2026-02-28,Simvastatin 20mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100.0,33.9,42.9,29.6,0.04305,11.9,15.11,6.0,3.0,18.0,103.8,239.2,0.7748999999999999,0.27,0.0116235,0.015000000000000001,407.96999999999997,1.0,Shelving,0.0,1,9.276315789473685
PH10028,2814267,2028-05-22,Saleable,80,2026-02-28,Bisoprolol 5mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100.0,57.9,35.3,19.6,0.04006,6.03,11.09,4.0,4.0,16.0,93.4,121.48,0.64096,0.8,0.032048,0.05,887.2,1.0,Shelving,0.0,1,26.776315789473685
PH10028,2822566,2027-01-01,Saleable,10,2026-02-28,Bisoprolol 5mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100.0,57.9,35.3,19.6,0.04006,6.03,11.09,4.0,4.0,16.0,93.4,121.48,0.64096,0.1,0.004006,0.00625,110.9,1.0,Shelving,0.0,1,10.098684210526317
PH10028,2882740,2028-07-22,Saleable,284,2026-02-28,Bisoprolol 5mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100.0,57.9,35.3,19.6,0.04006,6.03,11.09,4.0,4.0,16.0,93.4,121.48,0.64096,2.84,0.1137704,0.1775,3149.56,1.0,Shelving,0.0,1,28.782894736842106
PH10028,2851009,2028-01-13,Saleable,6,2026-02-28,Bisoprolol 5mg Tablets 100s,Corvane Pharma,Pharma,Tablets,Below 25C,100.0,57.9,35.3,19.6,0.04006,6.03,11.09,4.0,4.0,16.0,93.4,121.48,0.64096,0.06,0.0024035999999999997,0.00375,66.53999999999999,1.0,Shelving,0.0,1,22.5
PH10029,2986257,2027-11-19,Saleable,1568,2026-02-28,Gliclazide 80mg Tablets 3x10,Arcadine Pharma,Pharma,Tablets,Below 25C,180.0,42.1,38.4,18.9,0.03055,8.37,21.04,5.0,4.0,20.0,90.6,192.4,0.611,8.71111111111111,0.26612444444444444,0.43555555555555553,32990.72,1.0,Pallet racking,1.0,0,20.690789473684212
PH10030,3021002,2026-11-11,Saleable,155,2026-02-28,Allopurinol 300mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,60.0,56.5,30.2,31.8,0.05426,12.08,3.73,6.0,2.0,12.0,78.6,169.96,0.65112,2.5833333333333335,0.1401716666666667,0.2152777777777778,578.15,1.0,Shelving,0.0,1,8.421052631578947
PH10030,3062791,2027-10-02,Saleable,198,2026-02-28,Allopurinol 300mg Tablets 10x10,Corvane Pharma,Pharma,Tablets,Below 25C,60.0,56.5,30.2,31.8,0.05426,12.08,3.73,6.0,2.0,12.0,78.6,169.96,0.65112,3.3,0.179058,0.27499999999999997,738.54,1.0,Shelving,0.0,1,19.111842105263158
PH10032,3227303,2027-05-11,Saleable,31808,2026-02-28,Pantoprazole 40mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100.0,52.7,39.0,31.5,0.06474,10.75,5.77,4.0,4.0,16.0,141.0,197.0,1.03584,318.08,20.592499200000002,19.88,183532.15999999997,20.0,Pallet racking,20.0,0,14.375
PH10032,3291038,2027-09-05,Saleable,8429,2026-02-28,Pantoprazole 40mg Tablets 10x10,Venrick Laboratories,Pharma,Tablets,Below 25C,100.0,52.7,39.0,31.5,0.06474,10.75,5.77,4.0,4.0,16.0,141.0,197.0,1.03584,84.29,5.456934600000001,5.268125,48635.329999999994,6.0,Pallet racking,6.0,0,18.223684210526315
PH10033,3377490,2027-12-11,Saleable,575,2026-02-28,Simvastatin 20mg Tablets 30s,Halvora Healthcare,Pharma,Tablets,Below 25C,100.0,56.1,30.3,32.9,0.05592,10.82,10.85,6.0,3.0,18.0,113.7,219.76,1.00656,5.75,0.32154,0.3194444444444444,6238.75,1.0,Pallet racking,1.0,0,21.414473684210527
PH10034,3421654,2028-03-03,Saleable,489,2026-02-28,Ibuprofen 200mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60.0,33.1,33.6,31.0,0.03448,6.29,14.51,9.0,2.0,18.0,77.0,138.22,0.62064,8.15,0.281012,0.4527777777777778,7095.39,1.0,Pallet racking,1.0,0,24.144736842105264
PH10034,3435042,2027-01-14,Saleable,855,2026-02-28,Ibuprofen 200mg Tablets 3x10,Halvora Healthcare,Pharma,Tablets,Below 25C,60.0,33.1,33.6,31.0,0.03448,6.29,14.51,9.0,2.0,18.0,77.0,138.22,0.62064,14.25,0.49133999999999994,0.7916666666666666,12406.05,1.0,Pallet racking,1.0,0,10.526315789473685
PH10035,3589637,2028-08-23,Saleable,52057,2026-02-28,Metoprolol 50mg Tablets 100s,Marwick Pharmaceuticals,Pharma,Tablets,Below 25C,240.0,59.6,34.9,26.8,0.05575,14.35,22.98,2.0,2.0,4.0,68.6,82.4,0.223,216.90416666666667,12.092407291666667,54.22604166666667,1196269.86,55.0,Pallet racking,55.0,0,29.835526315789476
PH10036,3612184,2028-02-26,Saleable,4088,2026-02-28,Bisoprolol 2.5mg Tablets 2x14,Venrick Laboratories,Pharma,Tablets,Below 25C,100.0,57.8,36.7,22.1,0.04688,9.02,23.52,4.0,3.0,12.0,81.30000000000001,133.24,0.56256,40.88,1.9164544000000001,3.4066666666666667,96149.76,4.0,Pallet racking,4.0,0,23.947368421052634
PH10037,3768544,2027-07-29,Saleable,2907,2026-02-28,Montelukast 10mg Tablets 100s,Dunmore Therapeutics,Pharma,Tablets,Below 25C,240.0,51.9,42.4,18.3,0.04027,7.05,14.42,4.0,4.0,16.0,88.2,137.8,0.64432,12.1125,0.48777037500000003,0.75703125,41918.94,1.0,Pallet racking,1.0,0,16.973684210526315
